,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
32,松山區,安平里,2524126.0,2440915.0,2486078.0,2487755.0,8427.0,8681.0,8749.0,8755.0,8755.0,299.52842055298447,281.1790116346043,284.1556749342782,284.15248429468875
33,信義區,四育里,1517252.0,1489422.0,1420328.0,1372020.0,5780.0,5840.0,5877.0,5897.0,5897.0,262.50034602076124,255.03801369863012,241.67568487323464,232.66406647447855
34,信義區,五常里,990870.0,1025901.0,998574.0,975233.0,3859.0,3899.0,3927.0,3946.0,3946.0,256.768592899715,263.1190048730444,254.28418640183347,247.14470349721236
35,信義區,雅祥里,1224744.0,1253668.0,1223339.0,1188177.0,5072.0,5065.0,5126.0,5202.0,5202.0,241.47160883280756,247.51589338598222,238.65372610222397,228.40772779700114
36,信義區,安康里,135.0,8039.0,21640.0,7632.0,10611.0,10819.0,11003.0,11092.0,11092.0,0.01272264631043257,0.7430446436824105,1.9667363446332817,0.6880634691669671
37,信義區,敦厚里,762.0,883.0,322.0,5898.0,5340.0,5421.0,5477.0,5443.0,5443.0,0.14269662921348314,0.1628850765541413,0.0587913091108271,1.083593606467022
38,信義區,景勤里,3372.0,6629.0,3523.0,3263.0,4344.0,4392.0,4375.0,4378.0,4378.0,0.7762430939226519,1.509335154826958,0.8052571428571429,0.745317496573778
39,信義區,黎平里,75.0,73.0,74.0,59.0,7313.0,7344.0,7457.0,7427.0,7427.0,0.010255709011349652,0.009940087145969499,0.00992356175405659,0.007943988151339707
40,信義區,五全里,566.0,501.0,40.0,446.0,5140.0,5179.0,5204.0,5276.0,5276.0,0.11011673151750972,0.09673682178026646,0.007686395080707148,0.08453373768006066
41,信義區,四維里,,,,5052.0,5477.0,5485.0,5546.0,5580.0,5580.0,,,,0.9053763440860215
42,信義區,永春里,,,,15960.0,5194.0,5133.0,5133.0,5170.0,5170.0,,,,3.0870406189555126
43,信義區,廣居里,,,10020.0,24.0,8255.0,8380.0,8373.0,8447.0,8447.0,,,1.1967036904335364,0.002841245412572511
44,信義區,新仁里,,23000.0,5623.0,37113.0,3674.0,3685.0,3682.0,3707.0,3707.0,,6.241519674355495,1.527159152634438,10.011599676288103
45,信義區,興雅里,127.0,,1791.0,,6058.0,6111.0,6126.0,6056.0,6056.0,0.020964014526246286,,0.292360430950049,
46,信義區,長春里,95.0,,,8920.0,4322.0,4274.0,4295.0,4344.0,4344.0,0.021980564553447476,,,2.0534069981583793
47,信義區,國業里,,,,2090.0,8096.0,8135.0,8139.0,8211.0,8211.0,,,,0.2545365972475947
48,信義區,松隆里,,,,377.0,2410.0,2457.0,2445.0,2379.0,2379.0,,,,0.15846994535519127
49,信義區,松光里,,,,,5065.0,5139.0,5177.0,5121.0,5121.0,,,,
50,信義區,中坡里,,,3518.0,,4684.0,4691.0,4731.0,4752.0,4752.0,,,0.7436060029592052,
51,信義區,中行里,,5640.0,5760.0,4761.0,8343.0,8390.0,8407.0,8496.0,8496.0,,0.6722288438617402,0.6851433329368384,0.5603813559322034
52,信義區,大道里,,,,,6399.0,6385.0,6408.0,6433.0,6433.0,,,,
