,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
32,松山區,慈祐里,3531101.0,31397.0,3567399.0,3381607.0,7775.0,7975.0,7975.0,8134.0,8134.0,454.1609003215434,3.9369278996865202,447.3227586206897,415.7372756331448
33,信義區,三張里,4266787.0,4191473.0,4430662.0,4324782.0,9339.0,9401.0,9418.0,9408.0,9408.0,456.8783595674055,445.8539517072652,470.4461669144192,459.6919642857143
34,信義區,六合里,2800671.0,2781509.0,3071828.0,2901685.0,7087.0,7064.0,7095.0,7189.0,7189.0,395.1842810780302,393.75835220838053,432.9567300916138,403.62846014744747
35,信義區,三犁里,2841420.0,2791413.0,2963169.0,2973596.0,5381.0,5409.0,5415.0,5438.0,5438.0,528.0468314439695,516.0682196339434,547.2149584487535,546.8179477749172
36,信義區,惠安里,2466223.0,2455706.0,2611986.0,2518689.0,6791.0,6777.0,6867.0,6902.0,6902.0,363.1605065527905,362.35886085288473,380.3678462210572,364.92161692263113
37,信義區,泰和里,2642596.0,2681028.0,2900170.0,2903035.0,8301.0,8382.0,8393.0,8457.0,8457.0,318.346705216239,319.8554044380816,345.5462885738115,343.27007212959677
38,信義區,景新里,3149990.0,3119646.0,3277254.0,3248209.0,5318.0,5369.0,5365.0,5452.0,5452.0,592.3260624294848,581.0478673868504,610.8581547064306,595.7830154071901
39,信義區,中興里,1109425.0,1204801.0,1365947.0,1293591.0,3596.0,3554.0,3537.0,3546.0,3546.0,308.51640711902115,338.99859313449633,386.18801243992084,364.80287648054144
40,信義區,西村里,1509652.0,1459378.0,1566485.0,1528871.0,6172.0,6192.0,6124.0,6127.0,6127.0,244.59688917692807,235.68766149870802,255.7944154147616,249.53011261628856
41,信義區,正和里,1931791.0,1908412.0,2056592.0,2000068.0,4916.0,4892.0,4897.0,4954.0,4954.0,392.9599267697315,390.10874897792314,419.9697774147437,403.7278966491724
42,信義區,四育里,2369568.0,2275039.0,2342452.0,2250480.0,5780.0,5840.0,5877.0,5897.0,5897.0,409.9598615916955,389.56147260273974,398.5795473881232,381.6313379684585
43,信義區,雙和里,818995.0,832401.0,872328.0,861880.0,7382.0,7440.0,7458.0,7532.0,7532.0,110.9448658900027,111.88185483870967,116.9654062751408,114.429102496017
44,信義區,景聯里,414696.0,406770.0,435939.0,445815.0,4872.0,4879.0,4814.0,4831.0,4831.0,85.11822660098522,83.37159253945481,90.55650186954715,92.28213620368454
45,信義區,興隆里,424020.0,433548.0,453070.0,432765.0,3077.0,3035.0,3041.0,3021.0,3021.0,137.80305492362692,142.8494233937397,148.98717527129233,143.25223435948362
46,信義區,永吉里,2086522.0,322351.0,2009416.0,1843975.0,4456.0,4393.0,4369.0,4343.0,4343.0,468.25,73.37832916002732,459.92584115358204,424.5855399493438
47,信義區,景勤里,4764.0,8337.0,5133.0,4615.0,4344.0,4392.0,4375.0,4378.0,4378.0,1.0966850828729282,1.898224043715847,1.1732571428571428,1.0541343079031522
48,信義區,黎安里,4119.0,3594.0,4069.0,3297.0,2267.0,2245.0,2253.0,2251.0,2251.0,1.8169386854874283,1.600890868596882,1.8060363959165557,1.4646823633940471
49,信義區,五全里,468.0,451.0,40.0,425.0,5140.0,5179.0,5204.0,5276.0,5276.0,0.09105058365758754,0.08708244834910214,0.007686395080707148,0.08055344958301744
50,信義區,國業里,25.0,,,3286.0,8096.0,8135.0,8139.0,8211.0,8211.0,0.0030879446640316205,,,0.4001948605529168
51,信義區,松隆里,,,,849.0,2410.0,2457.0,2445.0,2379.0,2379.0,,,,0.35687263556116017
