south_north,west_east,Time,xlat,xlon,Times,Ta2,RH2,VP2,WS_1,SW_down,time_hour,dayofyear,T_mrt,PET_v,mPET_v,WBGT
0,0,0,24.963715,121.4306,2013-01-15 00:00:00,13.333923,86.28882,13.200515,1.4447334,0.0,0,15,4.863894195809905,7.192923339843751,7.6929233398437615,16.688136847496033
0,0,1,24.963715,121.4306,2013-01-15 01:00:00,12.980621,87.83831,13.131303,1.3446088,0.0,1,15,4.486933789688123,6.907621337890631,7.4796213378906335,16.460614312171938
0,0,2,24.963715,121.4306,2013-01-15 02:00:00,12.783417,88.42045,13.048946,1.307522,0.0,2,15,4.274859939451403,6.7244167480468855,7.3324167480468825,16.316433223724367
0,0,3,24.963715,121.4306,2013-01-15 03:00:00,12.480164,89.16222,12.899503,1.3279034,0.0,3,15,3.9668624148113736,6.38916357421875,6.999163574218758,16.08575732898712
0,0,4,24.963715,121.4306,2013-01-15 04:00:00,12.367828,89.75175,12.889396,1.2273918,0.0,4,15,3.8280333732990925,6.346828369140648,7.03682836914063,16.018091200828554
0,0,5,24.963715,121.4306,2013-01-15 05:00:00,12.28717,89.55844,12.793668,1.2524523,0.0,5,15,3.7433671862937103,6.230170410156261,6.916170410156256,15.934737065315245
0,0,6,24.963715,121.4306,2013-01-15 06:00:00,12.228088,89.65536,12.75787,1.2984623,0.0,6,15,3.694443558977923,6.13708837890625,6.797088378906257,15.887168910980224
0,0,7,24.963715,121.4306,2013-01-15 07:00:00,11.965759,90.51862,12.660231,1.2183366,1.2604777,7,15,3.5847743005153916,5.974759277343769,6.704759277343753,15.700056150436401
0,0,8,24.963715,121.4306,2013-01-15 08:00:00,13.92984,82.73439,13.1566725,1.4211575,68.12477,8,15,13.912729980499478,10.058840087890642,11.088840087890642,17.008791613578797
0,0,9,24.963715,121.4306,2013-01-15 09:00:00,15.292084,77.37722,13.434777,1.6549858,175.28322,9,15,25.21135381373938,13.96108374023438,15.443083740234373,17.890478943824768
0,0,10,24.963715,121.4306,2013-01-15 10:00:00,16.186554,73.52936,13.517857,1.8676172,265.65714,10,15,32.792711951666035,16.517553955078164,18.29755395507813,18.43029373550415
0,0,11,24.963715,121.4306,2013-01-15 11:00:00,16.77127,71.09668,13.56539,2.0797033,317.6348,11,15,36.75601167411713,17.77427075195302,19.612270751953243,18.780508642196658
0,0,12,24.963715,121.4306,2013-01-15 12:00:00,17.185303,69.673256,13.646755,2.1530797,348.04068,12,15,38.68533004975677,18.546302734375043,20.506302734375037,19.047241451263428
0,0,13,24.963715,121.4306,2013-01-15 13:00:00,17.42987,69.14173,13.7533455,2.3123753,348.30704,13,15,38.37884689653396,18.40087060546889,20.260870605468867,19.22780141067505
0,0,14,24.963715,121.4306,2013-01-15 14:00:00,17.40628,69.67077,13.837975,2.399122,290.94656,14,15,34.74282895786064,17.22528051757811,18.76728051757817,19.247685050964357
0,0,15,24.963715,121.4306,2013-01-15 15:00:00,17.151703,71.60793,13.995946,2.4248343,216.5085,15,15,28.926589550078177,15.450702880859378,16.510702880859288,19.165422284126283
0,0,16,24.963715,121.4306,2013-01-15 16:00:00,16.825256,73.42979,14.058572,2.4001772,127.23917,16,15,20.835268848238684,13.194256347656262,13.634256347656253,19.00493907260895
0,0,17,24.963715,121.4306,2013-01-15 17:00:00,16.203339,76.95117,14.162062,2.3670008,38.322403,17,15,10.610699145279852,10.382338623046891,10.222338623046895,18.692983243942262
0,0,18,24.963715,121.4306,2013-01-15 18:00:00,15.5269165,79.63499,14.0364485,2.0393324,0.0,18,15,7.217098410769324,9.235916503906255,9.135916503906257,18.260085909843443
0,0,19,24.963715,121.4306,2013-01-15 19:00:00,15.187012,80.75868,13.927665,2.004475,0.0,19,15,6.869844908204868,8.866011718750006,8.856011718750006,18.024607893943788
0,0,20,24.963715,121.4306,2013-01-15 20:00:00,14.894257,81.36976,13.7714615,1.9550273,0.0,20,15,6.558973710251962,8.58325659179688,8.62325659179688,17.797227851867678
0,0,21,24.963715,121.4306,2013-01-15 21:00:00,14.5598755,82.28851,13.63009,1.8739184,0.0,21,15,6.202483154895901,8.258875488281255,8.388875488281252,17.552074677467346
0,0,22,24.963715,121.4306,2013-01-15 22:00:00,14.245605,83.62846,13.573631,1.7744596,0.0,22,15,5.871202358934113,7.984605468750003,8.184605468749984,17.35169539642334
0,0,23,24.963715,121.4306,2013-01-15 23:00:00,13.799683,84.49721,13.324002,1.6460642,0.0,23,15,5.379493970843214,7.568682617187503,7.898682617187517,17.00075293445587
0,1,0,24.963806,121.45114,2013-01-15 00:00:00,13.319763,85.75098,13.106135,1.4030911,0.0,0,15,4.82574015339884,7.21876318359375,7.73876318359376,16.64301692485809
0,1,1,24.963806,121.45114,2013-01-15 01:00:00,13.175873,85.900894,13.00644,1.3049642,0.0,1,15,4.645418297788069,7.1168728027343855,7.7248728027343825,16.522250863075257
0,1,2,24.963806,121.45114,2013-01-15 02:00:00,13.090088,85.86525,12.928454,1.3588876,0.0,2,15,4.566613386520885,6.989087890625,7.569087890625009,16.442962412834166
0,1,3,24.963806,121.45114,2013-01-15 03:00:00,12.974213,86.206955,12.88203,1.3643168,0.0,3,15,4.449686635433579,6.8532126464843754,7.453212646484384,16.35901617717743
0,1,4,24.963806,121.45114,2013-01-15 04:00:00,12.898407,86.29139,12.830905,1.3270018,0.0,4,15,4.358540475248503,6.807406982421875,7.427406982421883,16.295942408561707
0,1,5,24.963806,121.45114,2013-01-15 05:00:00,12.894623,85.87808,12.76629,1.2774013,0.0,5,15,4.3306478265790815,6.8266228027343825,7.493622802734381,16.268402985572816
0,1,6,24.963806,121.45114,2013-01-15 06:00:00,12.857422,85.46722,12.674338,1.2862523,0.0,6,15,4.283073091019162,6.7864218750000065,7.446421875000007,16.211173171043395
0,1,7,24.963806,121.45114,2013-01-15 07:00:00,12.7725525,85.44218,12.600454,1.2122769,1.3712525,7,15,4.374649936494166,6.801552490234394,7.541552490234378,16.134015813827517
0,1,8,24.963806,121.45114,2013-01-15 08:00:00,13.946167,84.44933,13.443614,1.3048161,65.796616,8,15,13.727668787343362,10.175166992187515,11.235166992187514,17.130816988945007
0,1,9,24.963806,121.45114,2013-01-15 09:00:00,15.002563,81.18163,13.835675,1.407528,176.42494,9,15,25.13914117947337,14.191563476562516,15.753563476562485,17.88387386035919
0,1,10,24.963806,121.45114,2013-01-15 10:00:00,15.748047,78.342415,14.005339,1.5941105,275.1542,10,15,33.0594745472884,16.82104687499998,18.760046874999905,18.373240674972536
0,1,11,24.963806,121.45114,2013-01-15 11:00:00,16.244293,76.41368,14.099863,1.6531507,328.394,11,15,37.042353938486826,18.345293212890628,20.43529321289064,18.691760431289673
0,1,12,24.963806,121.45114,2013-01-15 12:00:00,16.614624,75.31191,14.227583,1.6542164,366.33472,12,15,39.214881023287035,19.3456240234376,21.425624023437614,18.951931913375855
0,1,13,24.963806,121.45114,2013-01-15 13:00:00,16.805084,74.70542,14.284527,1.887622,356.25064,13,15,38.41460886767385,18.716084228515754,20.676084228515748,19.08230179977417
0,1,14,24.963806,121.45114,2013-01-15 14:00:00,16.743896,75.27153,14.337053,1.909507,292.66833,14,15,34.50670914436154,17.434896484375095,19.08489648437504,19.06825125312805
0,1,15,24.963806,121.45114,2013-01-15 15:00:00,16.424438,77.16457,14.402528,1.9284045,197.00333,15,15,27.473910586404827,15.113438476562505,16.253438476562486,18.912850045204163
0,1,16,24.963806,121.45114,2013-01-15 16:00:00,16.045685,79.300064,14.448473,1.9388331,129.87376,16,15,20.363278167649923,12.894684814453127,13.674684814453132,18.71615316963196
0,1,17,24.963806,121.45114,2013-01-15 17:00:00,15.268341,83.08254,14.403421,1.952192,39.328617,17,15,9.782329475456834,9.647341064453137,9.807341064453134,18.257693994522093
0,1,18,24.963806,121.45114,2013-01-15 18:00:00,14.365448,85.33065,13.957643,1.8243312,0.0,18,15,6.044802987117862,8.10444799804688,8.244447998046876,17.570562539100646
0,1,19,24.963806,121.45114,2013-01-15 19:00:00,14.088013,85.843636,13.791771,1.8370433,0.0,19,15,5.760155886909331,7.797012695312504,7.957012695312501,17.348069175720216
0,1,20,24.963806,121.45114,2013-01-15 20:00:00,14.008209,85.60353,13.682271,1.8094833,0.0,20,15,5.663836136476959,7.727209228515629,7.907209228515625,17.259787137031555
0,1,21,24.963806,121.45114,2013-01-15 21:00:00,13.872528,85.711525,13.579529,1.8177823,0.0,21,15,5.521838877276991,7.581528076171879,7.771528076171875,17.142478240966796
0,1,22,24.963806,121.45114,2013-01-15 22:00:00,13.750793,85.60825,13.456414,1.6801898,0.0,22,15,5.358093966526553,7.519793457031253,7.809793457031268,17.025070679664612
0,1,23,24.963806,121.45114,2013-01-15 23:00:00,13.486755,85.66445,13.236079,1.5846975,0.0,23,15,5.0514124557427635,7.275755371093752,7.665755371093765,16.7887694272995
0,2,0,24.963875,121.47168,2013-01-15 00:00:00,13.3255005,86.15462,13.172751,1.3046623,0.0,0,15,4.813291217022822,7.29550048828127,7.8745004882812575,16.672450087547304
0,2,1,24.963875,121.47168,2013-01-15 01:00:00,13.18808,86.10649,13.047956,1.1683023,0.0,1,15,4.622135294602344,7.237079833984393,7.937079833984378,16.545488157272338
0,2,2,24.963875,121.47168,2013-01-15 02:00:00,13.068787,86.112114,12.947602,1.2382334,0.0,2,15,4.514081473095416,7.046786621093773,7.717786621093755,16.438409707069397
0,2,3,24.963875,121.47168,2013-01-15 03:00:00,12.968353,86.26065,12.8851185,1.213609,0.0,3,15,4.400656736870189,6.977353271484394,7.6573532714843795,16.35690786933899
0,2,4,24.963875,121.47168,2013-01-15 04:00:00,12.940704,86.404976,12.883373,1.1903602,0.0,4,15,4.366658167072501,6.959704345703144,7.659704345703129,16.340545055389406
