,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
0,松山區,復盛里,590.0,17699.0,8950.0,11176.0,6935.0,6929.0,6858.0,6857.0,6857.0,0.08507570295602018,2.5543368451435993,1.305045202682998,1.6298672889018522
1,松山區,復勢里,1323.0,1338.0,1435.0,1349.0,6638.0,6716.0,6709.0,6615.0,6615.0,0.19930702018680324,0.19922572960095294,0.2138917871515874,0.20393046107331822
2,松山區,福成里,,,,1349.0,2985.0,3043.0,3003.0,2983.0,2983.0,,,,0.45222929936305734
3,松山區,新聚里,10.0,,3978.0,,8252.0,8339.0,8313.0,8379.0,8379.0,0.0012118274357731458,,0.4785276073619632,
4,松山區,美仁里,11.0,,,,3750.0,3731.0,3803.0,3840.0,3840.0,0.0029333333333333334,,,
5,松山區,富泰里,32.0,,2993.0,,4832.0,4861.0,4909.0,4938.0,4938.0,0.006622516556291391,,0.6096964758606641,
6,松山區,介壽里,,,,1126.0,5059.0,5027.0,4925.0,4931.0,4931.0,,,,0.22835124721151895
7,松山區,東光里,,3080.0,,,7457.0,7493.0,7539.0,7532.0,7532.0,,0.411050313626051,,
8,松山區,東勢里,,5676.0,11560.0,,4790.0,4808.0,4787.0,4744.0,4744.0,,1.180532445923461,2.414873616043451,
9,松山區,安平里,,21720.0,,11060.0,8427.0,8681.0,8749.0,8755.0,8755.0,,2.5020158967860846,,1.2632781267846944
10,松山區,鵬程里,19.0,,,243.0,5883.0,5854.0,5748.0,5769.0,5769.0,0.0032296447390787013,,,0.0421216848673947
11,松山區,自強里,,,,,10176.0,10183.0,10202.0,10218.0,10218.0,,,,
12,松山區,吉祥里,576.0,2640.0,32148.0,33327.0,8762.0,8755.0,8774.0,8817.0,8817.0,0.06573841588678384,0.30154197601370647,3.66400729427855,3.7798570942497447
13,松山區,松基里,1399.0,,6492.0,7579.0,3836.0,3854.0,3862.0,3812.0,3812.0,0.36470281543274247,,1.6809943034697048,1.9881951731374607
14,松山區,中崙里,20143.0,7175.0,14377.0,11186.0,4594.0,4586.0,4549.0,4563.0,4563.0,4.3846321288637355,1.564544265154819,3.160474829632886,2.451457374534298
15,松山區,慈祐里,39859.0,76519.0,91054.0,77743.0,7775.0,7975.0,7975.0,8134.0,8134.0,5.126559485530547,9.59485893416928,11.41742946708464,9.55778214900418
16,松山區,復源里,1129101.0,1075068.0,1146179.0,1027108.0,3600.0,3654.0,3596.0,3561.0,3561.0,313.63916666666665,294.2167487684729,318.7372080088988,288.43246279135076
17,松山區,新東里,313296.0,,313115.0,289950.0,5108.0,5161.0,5139.0,5202.0,5202.0,61.33437744714174,,60.929169099046504,55.73817762399077
18,松山區,復建里,1659070.0,1553933.0,1568826.0,1486759.0,4840.0,4830.0,4841.0,4896.0,4896.0,342.7830578512397,321.72525879917185,324.07064656062795,303.66809640522877
19,松山區,新益里,464023.0,,436347.0,382761.0,4877.0,4915.0,4907.0,4866.0,4866.0,95.14517121181053,,88.92337477073568,78.66029593094945
20,松山區,敦化里,2688300.0,2510931.0,2623719.0,2439910.0,7727.0,7696.0,7645.0,7615.0,7615.0,347.90992623269057,326.2644230769231,343.19411379986917,320.408404464872
21,松山區,莊敬里,720841.0,40.0,708608.0,644594.0,5705.0,5725.0,5664.0,5667.0,5667.0,126.35249780893953,0.0069868995633187774,125.10734463276836,113.74519145932592
22,松山區,龍田里,765572.0,,783129.0,698225.0,11327.0,11284.0,11284.0,11219.0,11219.0,67.58824048733115,,69.40171924849344,62.23593903199929
23,松山區,東昌里,824707.0,,806031.0,723017.0,3019.0,2983.0,2951.0,2927.0,2927.0,273.1722424643922,,273.13825821755336,247.01639904338913
24,松山區,中正里,2379661.0,2343448.0,2499576.0,2319365.0,10787.0,10833.0,10812.0,10877.0,10877.0,220.6045239640308,216.32493307486385,231.18534961154273,213.2357267628942
25,松山區,中華里,1109442.0,,1075286.0,958362.0,6891.0,6945.0,6919.0,6894.0,6894.0,160.99869394862864,,155.410608469432,139.01392515230634
26,松山區,精忠里,1476049.0,228.0,1436336.0,1329160.0,4883.0,4827.0,4676.0,4722.0,4722.0,302.2832275240631,0.04723430702299565,307.17194183062446,281.48242270224483
27,松山區,吉仁里,1540289.0,1434280.0,1471266.0,1372649.0,4468.0,4469.0,4422.0,4384.0,4384.0,344.7379140555058,320.93980756321326,332.71506105834465,313.1042427007299
28,松山區,三民里,1303511.0,293.0,1234227.0,1128747.0,7118.0,7153.0,7132.0,7149.0,7149.0,183.12882832256253,0.04096183419544247,173.05482333146384,157.88879563575324
29,松山區,富錦里,1781711.0,,1674752.0,1493276.0,5390.0,5398.0,5424.0,5457.0,5457.0,330.5586270871985,,308.7669616519174,273.64412680960237
30,松山區,民福里,2302802.0,,2207538.0,2008752.0,6481.0,6540.0,6605.0,6624.0,6624.0,355.3158463200123,,334.2222558667676,303.2536231884058
31,松山區,東榮里,2730318.0,40.0,2649658.0,2408868.0,8843.0,8744.0,8671.0,8568.0,8568.0,308.7547212484451,0.004574565416285453,305.57698074039905,281.1470588235294
32,松山區,民有里,4211793.0,,4100935.0,3579798.0,8733.0,8913.0,8950.0,8958.0,8958.0,482.2847818619031,,458.2050279329609,399.6202277294039
33,信義區,新仁里,48865.0,1745584.0,2032562.0,1477477.0,3674.0,3685.0,3682.0,3707.0,3707.0,13.300217746325531,473.6998643147897,552.0266159695817,398.56406797949825
