district,village,total_2014
大同區,國順里,3120.00 
大同區,國慶里,4533.00 
大同區,揚雅里,4367.00 
大同區,斯文里,5564.00 
大同區,鄰江里,6675.00 
大同區,至聖里,8292.00 
大同區,老師里,6302.00 
大同區,重慶里,7336.00 
大同區,保安里,4342.00 
萬華區,福星里,5760.00 
萬華區,萬壽里,3641.00 
萬華區,西門里,4064.00 
萬華區,新起里,6814.00 
萬華區,菜園里,6311.00 
萬華區,青山里,5974.00 
萬華區,富民里,5397.00 
萬華區,福音里,3708.00 
萬華區,仁德里,4814.00 
萬華區,富福里,6374.00 
萬華區,頂碩里,7726.00 
萬華區,雙園里,5112.00 
萬華區,新忠里,3683.00 
萬華區,新和里,8877.00 
萬華區,糖?里,5783.00 
萬華區,和平里,7200.00 
萬華區,綠堤里,4617.00 
萬華區,華江里,8857.00 
萬華區,柳鄉里,5689.00 
萬華區,日善里,3963.00 
萬華區,新安里,6538.00 
萬華區,忠德里,4693.00 
萬華區,孝德里,3539.00 
萬華區,和德里,7674.00 
萬華區,錦德里,5786.00 
萬華區,全德里,4440.00 
萬華區,保德里,3518.00 
萬華區,銘德里,4923.00 
萬華區,榮德里,3827.00 
萬華區,壽德里,5623.00 
萬華區,興德里,5220.00 
萬華區,華中里,6492.00 
萬華區,日祥里,5783.00 
萬華區,忠貞里,5165.00 
萬華區,凌霄里,4003.00 
萬華區,騰雲里,3127.00 
文山區,景行里,7500.00 
文山區,景東里,7721.00 
文山區,景美里,5554.00 
文山區,景慶里,7046.00 
文山區,景仁里,5104.00 
文山區,景華里,6246.00 
文山區,萬有里,5871.00 
文山區,萬祥里,4972.00 
文山區,萬隆里,7713.00 
文山區,萬年里,5679.00 
文山區,萬和里,3367.00 
文山區,萬盛里,4969.00 
文山區,興豐里,5088.00 
文山區,興光里,3697.00 
文山區,興家里,7937.00 
文山區,興得里,6319.00 
文山區,興業里,5607.00 
文山區,興安里,6820.00 
文山區,興福里,6342.00 
文山區,興旺里,8517.00 
文山區,興泰里,4066.00 
文山區,興昌里,7047.00 
文山區,試院里,7266.00 
文山區,華興里,9187.00 
文山區,明義里,4643.00 
文山區,明興里,7244.00 
文山區,木柵里,9063.00 
文山區,木新里,10443.00 
文山區,順興里,8118.00 
文山區,樟林里,8902.00 
文山區,樟新里,5996.00 
文山區,樟腳里,5988.00 
文山區,萬芳里,8337.00 
文山區,博嘉里,5822.00 
文山區,萬興里,8873.00 
文山區,指南里,3862.00 
文山區,老泉里,983.00 
文山區,忠順里,4025.00 
文山區,萬美里,7548.00 
文山區,政大里,7733.00 
文山區,樟文里,6663.00 
文山區,興邦里,4865.00 
文山區,樟樹里,5178.00 
南港區,南港里,6713.00 
南港區,中南里,4027.00 
南港區,新富里,4257.00 
南港區,三重里,6529.00 
南港區,東新里,7668.00 
南港區,新光里,3998.00 
南港區,東明里,4962.00 
南港區,西新里,5070.00 
南港區,玉成里,5207.00 
南港區,合成里,7217.00 
南港區,成福里,7872.00 
南港區,萬福里,4359.00 
南港區,鴻福里,4859.00 
南港區,百福里,5607.00 
南港區,聯成里,5429.00 
南港區,舊莊里,9837.00 
南港區,中研里,9564.00 
南港區,九如里,6733.00 
南港區,仁福里,5997.00 
南港區,重陽里,5352.00 
內湖區,西湖里,7837.00 
內湖區,西康里,9629.00 
內湖區,西安里,6876.00 
內湖區,港墘里,6403.00 
內湖區,港都里,5941.00 
內湖區,港富里,10097.00 
內湖區,港華里,9559.00 
內湖區,內湖里,6095.00 
內湖區,湖濱里,8507.00 
內湖區,紫星里,8309.00 
內湖區,大湖里,5724.00 
內湖區,金龍里,5668.00 
內湖區,金瑞里,7070.00 
內湖區,碧山里,7378.00 
內湖區,紫雲里,6177.00 
內湖區,清白里,8628.00 
內湖區,葫洲里,7799.00 
內湖區,紫陽里,8415.00 
內湖區,瑞陽里,8215.00 
內湖區,瑞光里,4820.00 
內湖區,五分里,11795.00 
內湖區,東湖里,8879.00 
內湖區,樂康里,9292.00 
內湖區,內溝里,5061.00 
內湖區,週美里,7667.00 
內湖區,行善里,6871.00 
內湖區,石潭里,3690.00 
內湖區,湖興里,8820.00 
內湖區,湖元里,5807.00 
內湖區,安湖里,8450.00 
內湖區,秀湖里,6457.00 
內湖區,安泰里,5847.00 
內湖區,金湖里,10402.00 
內湖區,康寧里,9568.00 
內湖區,明湖里,5874.00 
內湖區,蘆洲里,1338.00 
內湖區,麗山里,6288.00 
內湖區,寶湖里,8511.00 
內湖區,南湖里,6003.00 
士林區,仁勇里,4290.00 
士林區,義信里,3452.00 
士林區,福林里,3232.00 
士林區,福德里,6034.00 
士林區,福志里,7921.00 
士林區,舊佳里,6398.00 
士林區,福佳里,8346.00 
士林區,後港里,8610.00 
士林區,福中里,7501.00 
士林區,前港里,4893.00 
士林區,百齡里,7722.00 
士林區,承德里,6015.00 
士林區,福華里,6870.00 
士林區,明勝里,5217.00 
士林區,福順里,5642.00 
士林區,富光里,6308.00 
士林區,葫蘆里,8144.00 
士林區,葫東里,4295.00 
士林區,社子里,6802.00 
士林區,社新里,9328.00 
士林區,社園里,7811.00 
士林區,永倫里,7741.00 
士林區,福安里,4977.00 
士林區,富洲里,5857.00 
士林區,岩山里,3662.00 
士林區,名山里,7522.00 
士林區,德行里,4580.00 
士林區,德華里,5964.00 
士林區,聖山里,5391.00 
士林區,忠誠里,5994.00 
士林區,芝山里,7956.00 
士林區,東山里,5509.00 
士林區,三玉里,6205.00 
士林區,蘭雅里,9144.00 
士林區,蘭興里,6870.00 
士林區,天福里,6690.00 
士林區,天祿里,5546.00 
士林區,天壽里,5342.00 
士林區,天和里,8109.00 
士林區,天山里,7402.00 
士林區,天玉里,9346.00 
士林區,天母里,7147.00 
士林區,永福里,1338.00 
士林區,公館里,1494.00 
士林區,新安里,2094.00 
士林區,陽明里,3146.00 
士林區,菁山里,1714.00 
士林區,平等里,1537.00 
士林區,溪山里,1521.00 
士林區,翠山里,2772.00 
士林區,臨溪里,3054.00 
北投區,建民里,4489.00 
北投區,文林里,4427.00 
北投區,石牌里,5745.00 
北投區,福興里,7628.00 
北投區,榮光里,8144.00 
北投區,榮華里,7986.00 
北投區,裕民里,8025.00 
北投區,振華里,8151.00 
北投區,永和里,9563.00 
北投區,永欣里,8161.00 
北投區,永明里,5314.00 
北投區,東華里,4753.00 
北投區,吉利里,7614.00 
北投區,吉慶里,5793.00 
北投區,尊賢里,5149.00 
北投區,立賢里,5979.00 
北投區,立農里,9707.00 
北投區,八仙里,5780.00 
北投區,洲美里,2256.00 
北投區,奇岩里,9876.00 
北投區,清江里,9805.00 
北投區,中央里,9251.00 
北投區,長安里,6429.00 
北投區,大同里,6283.00 
北投區,溫泉里,7000.00 
北投區,林泉里,3559.00 
北投區,中心里,6636.00 
北投區,中庸里,4591.00 
北投區,開明里,6791.00 
北投區,中和里,5254.00 
北投區,智仁里,6648.00 
北投區,秀山里,3505.00 
北投區,文化里,4622.00 
北投區,豐年里,4938.00 
北投區,稻香里,5294.00 
北投區,桃源里,6314.00 
北投區,一德里,7541.00 
北投區,關渡里,11823.00 
北投區,泉源里,2518.00 
北投區,湖山里,1836.00 
北投區,大屯里,1243.00 
北投區,湖田里,1099.00 
