年,行政區,里別,total_2011
100,松山區,三民里,7118.00 
100,松山區,中正里,10787.00 
100,松山區,中崙里,4594.00 
100,松山區,中華里,6891.00 
100,松山區,介壽里,5059.00 
100,松山區,民有里,8733.00 
100,松山區,民福里,6481.00 
100,松山區,吉仁里,4468.00 
100,松山區,吉祥里,8762.00 
100,松山區,安平里,8427.00 
100,松山區,自強里,10176.00 
100,松山區,東光里,7457.00 
100,松山區,東昌里,3019.00 
100,松山區,東勢里,4790.00 
100,松山區,東榮里,8843.00 
100,松山區,松基里,3836.00 
100,松山區,美仁里,3750.00 
100,松山區,莊敬里,5705.00 
100,松山區,富泰里,4832.00 
100,松山區,富錦里,5390.00 
100,松山區,復建里,4840.00 
100,松山區,復盛里,6935.00 
100,松山區,復勢里,6638.00 
100,松山區,復源里,3600.00 
100,松山區,敦化里,7727.00 
100,松山區,慈祐里,7775.00 
100,松山區,新東里,5108.00 
100,松山區,新益里,4877.00 
100,松山區,新聚里,8252.00 
100,松山區,福成里,2985.00 
100,松山區,精忠里,4883.00 
100,松山區,龍田里,11327.00 
100,松山區,鵬程里,5883.00 
100,信義區,三張里,9339.00 
100,信義區,三犁里,5381.00 
100,信義區,大仁里,4273.00 
100,信義區,大道里,6399.00 
100,信義區,中行里,8343.00 
100,信義區,中坡里,4684.00 
100,信義區,中興里,3596.00 
100,信義區,五全里,5140.00 
100,信義區,五常里,3859.00 
100,信義區,六合里,7087.00 
100,信義區,六藝里,3959.00 
100,信義區,四育里,5780.00 
100,信義區,四維里,5477.00 
100,信義區,正和里,4916.00 
100,信義區,永吉里,4456.00 
100,信義區,永春里,5194.00 
100,信義區,安康里,10611.00 
100,信義區,西村里,6172.00 
100,信義區,松友里,7113.00 
100,信義區,松光里,5065.00 
100,信義區,松隆里,2410.00 
100,信義區,長春里,4322.00 
100,信義區,泰和里,8301.00 
100,信義區,國業里,8096.00 
100,信義區,富台里,4536.00 
100,信義區,惠安里,6791.00 
100,信義區,敦厚里,5340.00 
100,信義區,景勤里,4344.00 
100,信義區,景新里,5318.00 
100,信義區,景聯里,4872.00 
100,信義區,雅祥里,5072.00 
100,信義區,新仁里,3674.00 
100,信義區,嘉興里,3311.00 
100,信義區,廣居里,8255.00 
100,信義區,黎平里,7313.00 
100,信義區,黎安里,2267.00 
100,信義區,黎忠里,4911.00 
100,信義區,黎順里,4047.00 
100,信義區,興隆里,3077.00 
100,信義區,興雅里,6058.00 
100,信義區,雙和里,7382.00 
100,大安區,大學里,8791.00 
100,大安區,仁慈里,5876.00 
100,大安區,仁愛里,5711.00 
100,大安區,古風里,4438.00 
100,大安區,古莊里,7267.00 
100,大安區,正聲里,5232.00 
100,大安區,民炤里,8490.00 
100,大安區,民輝里,7013.00 
100,大安區,永康里,4027.00 
100,大安區,光明里,4136.00 
100,大安區,光武里,8239.00 
