年,行政區,里別,total_2011
100,大安區,光信里,8269.00 
100,大安區,全安里,4681.00 
100,大安區,住安里,5582.00 
100,大安區,車層里,6729.00 
100,大安區,和安里,7511.00 
100,大安區,昌隆里,3191.00 
100,大安區,法治里,4627.00 
100,大安區,臥龍里,1961.00 
100,大安區,芳和里,6129.00 
100,大安區,虎嘯里,3759.00 
100,大安區,建安里,5289.00 
100,大安區,建倫里,6508.00 
100,大安區,通化里,6358.00 
100,大安區,通安里,5824.00 
100,大安區,敦安里,6716.00 
100,大安區,敦煌里,6388.00 
100,大安區,華聲里,4577.00 
100,大安區,新龍里,7249.00 
100,大安區,義安里,5670.00 
100,大安區,義村里,6199.00 
100,大安區,群英里,7573.00 
100,大安區,群賢里,6317.00 
100,大安區,誠安里,4309.00 
100,大安區,福住里,6748.00 
100,大安區,德安里,6109.00 
100,大安區,黎元里,5676.00 
100,大安區,黎孝里,7712.00 
100,大安區,黎和里,4886.00 
100,大安區,學府里,3171.00 
100,大安區,錦安里,6423.00 
100,大安區,錦泰里,4774.00 
100,大安區,錦華里,5879.00 
100,大安區,龍生里,7155.00 
100,大安區,龍安里,8074.00 
100,大安區,龍坡里,6475.00 
100,大安區,龍門里,4709.00 
100,大安區,龍泉里,5010.00 
100,大安區,龍陣里,3659.00 
100,大安區,龍淵里,10141.00 
100,大安區,龍雲里,5209.00 
100,大安區,龍圖里,7054.00 
100,大安區,臨江里,4346.00 
100,中山區,力行里,5816.00 
100,中山區,下埤里,7698.00 
100,中山區,大佳里,1152.00 
100,中山區,大直里,10326.00 
100,中山區,中山里,5918.00 
100,中山區,中央里,3848.00 
100,中山區,中吉里,5812.00 
100,中山區,中原里,5047.00 
100,中山區,中庄里,5167.00 
100,中山區,北安里,2855.00 
100,中山區,正守里,3178.00 
100,中山區,正得里,3593.00 
100,中山區,正義里,4994.00 
100,中山區,民安里,4918.00 
100,中山區,永安里,9912.00 
100,中山區,成功里,6693.00 
100,中山區,朱崙里,2982.00 
100,中山區,朱園里,4394.00 
100,中山區,朱馥里,6272.00 
100,中山區,江山里,7666.00 
100,中山區,江寧里,6761.00 
100,中山區,行仁里,8397.00 
100,中山區,行孝里,4158.00 
100,中山區,行政里,7718.00 
100,中山區,松江里,6760.00 
100,中山區,金泰里,7563.00 
100,中山區,恆安里,4303.00 
100,中山區,埤頭里,3579.00 
100,中山區,康樂里,2484.00 
100,中山區,復華里,4724.00 
100,中山區,晴光里,5122.00 
100,中山區,集英里,7243.00 
100,中山區,圓山里,4210.00 
100,中山區,新生里,5022.00 
100,中山區,新喜里,5460.00 
100,中山區,新福里,5190.00 
100,中山區,新庄里,5061.00 
100,中山區,聚盛里,3916.00 
100,中山區,聚葉里,3835.00 
100,中山區,劍潭里,3892.00 
100,中山區,興亞里,5268.00 
100,中山區,龍洲里,5195.00 
100,中正區,三愛里,8650.00 
100,中正區,文北里,5689.00 
100,中正區,文盛里,2725.00 
100,中正區,文祥里,8574.00 
100,中正區,水源里,3131.00 
100,中正區,永功里,6653.00 
100,中正區,永昌里,5159.00 
100,中正區,光復里,4173.00 
100,中正區,幸市里,4533.00 
100,中正區,幸福里,4893.00 
100,中正區,忠勤里,6948.00 
100,中正區,東門里,4607.00 
100,中正區,林興里,4818.00 
100,中正區,板溪里,3418.00 
100,中正區,河堤里,4478.00 
100,中正區,南門里,3118.00 
100,中正區,南福里,10828.00 
100,中正區,建國里,1638.00 
100,中正區,梅花里,3300.00 
100,中正區,頂東里,6008.00 
100,中正區,富水里,2984.00 
100,中正區,廈安里,4643.00 
100,中正區,愛國里,3728.00 
100,中正區,新營里,10178.00 
100,中正區,網溪里,5808.00 
100,中正區,黎明里,3634.00 
100,中正區,螢圃里,5543.00 
100,中正區,螢雪里,4583.00 
100,中正區,龍光里,3952.00 
100,中正區,龍福里,8489.00 
100,中正區,龍興里,4566.00 
100,大同區,大有里,5146.00 
100,大同區,民權里,6540.00 
100,大同區,永樂里,5758.00 
100,大同區,玉泉里,3216.00 
100,大同區,光能里,5321.00 
100,大同區,老師里,6024.00 
100,大同區,至聖里,7604.00 
100,大同區,延平里,4198.00 
100,大同區,保安里,4279.00 
100,大同區,南芳里,4020.00 
100,大同區,建功里,4832.00 
100,大同區,建明里,3529.00 
100,大同區,建泰里,3884.00 
100,大同區,星明里,5869.00 
100,大同區,重慶里,7029.00 
100,大同區,國順里,3134.00 
100,大同區,國慶里,4353.00 
100,大同區,揚雅里,4273.00 
100,大同區,斯文里,5427.00 
100,大同區,景星里,2851.00 
100,大同區,朝陽里,4388.00 
100,大同區,隆和里,3243.00 
100,大同區,蓬萊里,4936.00 
100,大同區,鄰江里,6456.00 
100,大同區,雙連里,10330.00 
100,萬華區,仁德里,4592.00 
100,萬華區,日祥里,5805.00 
100,萬華區,日善里,4004.00 
100,萬華區,全德里,4459.00 
100,萬華區,西門里,4013.00 
100,萬華區,孝德里,3376.00 
100,萬華區,和平里,7254.00 
100,萬華區,和德里,7457.00 
100,萬華區,忠貞里,5157.00 
100,萬華區,忠德里,4716.00 
100,萬華區,青山里,5973.00 
100,萬華區,保德里,3215.00 
100,萬華區,柳鄉里,5498.00 
100,萬華區,凌霄里,3960.00 
100,萬華區,頂碩里,7773.00 
100,萬華區,富民里,5455.00 
100,萬華區,富福里,6114.00 
100,萬華區,華中里,6330.00 
100,萬華區,華江里,8749.00 
100,萬華區,菜園里,6141.00 
100,萬華區,新安里,6522.00 
100,萬華區,新和里,8194.00 
100,萬華區,新忠里,3111.00 
100,萬華區,新起里,6764.00 
100,萬華區,萬壽里,3434.00 
100,萬華區,壽德里,5630.00 
100,萬華區,榮德里,3884.00 
100,萬華區,福星里,5558.00 
100,萬華區,福音里,3660.00 
100,萬華區,綠堤里,4752.00 
100,萬華區,銘德里,4833.00 
100,萬華區,糖?里,5750.00 
100,萬華區,興德里,5086.00 
100,萬華區,錦德里,5603.00 
100,萬華區,雙園里,4890.00 
100,萬華區,騰雲里,3143.00 
100,文山區,木柵里,8954.00 
100,文山區,木新里,10049.00 
100,文山區,老泉里,955.00 
100,文山區,忠順里,3885.00 
100,文山區,明義里,4886.00 
100,文山區,明興里,7110.00 
100,文山區,指南里,3427.00 
100,文山區,政大里,6929.00 
100,文山區,博嘉里,5495.00 
100,文山區,景仁里,4906.00 
100,文山區,景行里,7054.00 
100,文山區,景東里,7723.00 
100,文山區,景美里,5418.00 
100,文山區,景華里,6263.00 
100,文山區,景慶里,7152.00 
100,文山區,華興里,9005.00 
100,文山區,順興里,7579.00 
100,文山區,萬年里,5415.00 
100,文山區,萬有里,5606.00 
100,文山區,萬和里,2991.00 
100,文山區,萬芳里,8226.00 
100,文山區,萬美里,7284.00 
100,文山區,萬盛里,4757.00 
100,文山區,萬祥里,4875.00 
100,文山區,萬隆里,7804.00 
100,文山區,萬興里,8620.00 
100,文山區,試院里,7038.00 
100,文山區,樟文里,6531.00 
100,文山區,樟林里,8758.00 
100,文山區,樟新里,5928.00 
100,文山區,樟腳里,5794.00 
100,文山區,樟樹里,5066.00 
100,文山區,興光里,3620.00 
100,文山區,興安里,6762.00 
100,文山區,興邦里,4542.00 
100,文山區,興旺里,8065.00 
100,文山區,興昌里,6978.00 
100,文山區,興家里,7750.00 
100,文山區,興泰里,4000.00 
100,文山區,興得里,6330.00 
100,文山區,興業里,5515.00 
100,文山區,興福里,6457.00 
100,文山區,興豐里,4940.00 
100,南港區,九如里,6486.00 
100,南港區,三重里,4662.00 
100,南港區,中南里,4178.00 
100,南港區,中研里,9396.00 
100,南港區,仁福里,5849.00 
100,南港區,玉成里,5112.00 
100,南港區,合成里,7100.00 
100,南港區,成福里,6722.00 
100,南港區,百福里,5322.00 
100,南港區,西新里,4994.00 
100,南港區,東明里,5679.00 
100,南港區,東新里,7205.00 
100,南港區,南港里,6610.00 
100,南港區,重陽里,4636.00 
100,南港區,新光里,3926.00 
100,南港區,新富里,4215.00 
100,南港區,萬福里,4269.00 
100,南港區,聯成里,5348.00 
100,南港區,鴻福里,4751.00 
100,南港區,舊莊里,9671.00 
100,內湖區,大湖里,5504.00 
100,內湖區,五分里,11517.00 
100,內湖區,內湖里,6054.00 
100,內湖區,內溝里,4991.00 
100,內湖區,石潭里,2857.00 
100,內湖區,安泰里,5585.00 
100,內湖區,安湖里,8382.00 
100,內湖區,行善里,6653.00 
100,內湖區,西安里,6701.00 
100,內湖區,西康里,9192.00 
100,內湖區,西湖里,7805.00 
100,內湖區,秀湖里,6400.00 
100,內湖區,明湖里,5453.00 
100,內湖區,東湖里,9093.00 
100,內湖區,金湖里,10008.00 
100,內湖區,金瑞里,6941.00 
100,內湖區,金龍里,5638.00 
100,內湖區,南湖里,5624.00 
100,內湖區,康寧里,9426.00 
100,內湖區,清白里,8222.00 
100,內湖區,港都里,5669.00 
100,內湖區,港富里,9892.00 
100,內湖區,港華里,9151.00 
100,內湖區,港墘里,6250.00 
100,內湖區,湖元里,5617.00 
100,內湖區,湖興里,8386.00 
100,內湖區,湖濱里,8458.00 
100,內湖區,紫星里,8267.00 
100,內湖區,紫陽里,8073.00 
100,內湖區,紫雲里,6067.00 
100,內湖區,週美里,6584.00 
100,內湖區,瑞光里,4748.00 
100,內湖區,瑞陽里,8147.00 
100,內湖區,葫洲里,7694.00 
100,內湖區,碧山里,7275.00 
100,內湖區,樂康里,9072.00 
100,內湖區,麗山里,5906.00 
100,內湖區,寶湖里,7072.00 
100,內湖區,蘆洲里,1278.00 
100,士林區,三玉里,5884.00 
100,士林區,仁勇里,4309.00 
100,士林區,公館里,1470.00 
100,士林區,天山里,7570.00 
100,士林區,天母里,7062.00 
100,士林區,天玉里,9249.00 
100,士林區,天和里,8332.00 
100,士林區,天祿里,5336.00 
100,士林區,天壽里,5237.00 
100,士林區,天福里,6641.00 
100,士林區,平等里,1522.00 
100,士林區,永倫里,7396.00 
100,士林區,永福里,1353.00 
100,士林區,名山里,7500.00 
100,士林區,百齡里,7729.00 
100,士林區,岩山里,3622.00 
100,士林區,忠誠里,5803.00 
100,士林區,承德里,5857.00 
100,士林區,明勝里,5123.00 
100,士林區,東山里,5599.00 
100,士林區,社子里,6680.00 
100,士林區,社園里,7748.00 
100,士林區,社新里,8900.00 
100,士林區,芝山里,7928.00 
100,士林區,前港里,4884.00 
100,士林區,後港里,8415.00 
100,士林區,富光里,6262.00 
100,士林區,富洲里,5799.00 
100,士林區,菁山里,1741.00 
100,士林區,陽明里,3112.00 
100,士林區,新安里,2142.00 
100,士林區,溪山里,1474.00 
100,士林區,義信里,3579.00 
100,士林區,聖山里,5426.00 
100,士林區,葫東里,4048.00 
100,士林區,葫蘆里,7913.00 
100,士林區,福中里,7203.00 
100,士林區,福安里,4953.00 
100,士林區,福志里,7831.00 
100,士林區,福佳里,8188.00 
100,士林區,福林里,3293.00 
100,士林區,福華里,6970.00 
100,士林區,福順里,5338.00 
100,士林區,福德里,6262.00 
100,士林區,翠山里,2835.00 
100,士林區,德行里,4503.00 
100,士林區,德華里,5978.00 
100,士林區,臨溪里,3077.00 
100,士林區,舊佳里,6321.00 
100,士林區,蘭雅里,8910.00 
100,士林區,蘭興里,6765.00 
100,北投區,一德里,7045.00 
100,北投區,八仙里,5655.00 
100,北投區,大屯里,1248.00 
100,北投區,大同里,6205.00 
100,北投區,中心里,6391.00 
100,北投區,中央里,9142.00 
100,北投區,中和里,5187.00 
100,北投區,中庸里,4565.00 
100,北投區,文化里,4562.00 
100,北投區,文林里,4589.00 
100,北投區,永和里,9358.00 
100,北投區,永明里,5215.00 
100,北投區,永欣里,8096.00 
100,北投區,石牌里,5541.00 
100,北投區,立農里,9588.00 
100,北投區,立賢里,5884.00 
100,北投區,吉利里,7513.00 
100,北投區,吉慶里,5682.00 
100,北投區,秀山里,3468.00 
100,北投區,奇岩里,9945.00 
100,北投區,東華里,4869.00 
100,北投區,林泉里,3418.00 
100,北投區,長安里,6211.00 
100,北投區,建民里,4116.00 
100,北投區,泉源里,2518.00 
100,北投區,洲美里,2198.00 
100,北投區,振華里,8104.00 
100,北投區,桃源里,5806.00 
100,北投區,清江里,9795.00 
100,北投區,尊賢里,5120.00 
100,北投區,智仁里,6445.00 
100,北投區,湖山里,1879.00 
100,北投區,湖田里,1021.00 
100,北投區,開明里,6520.00 
100,北投區,溫泉里,6882.00 
100,北投區,裕民里,7908.00 
100,北投區,榮光里,7897.00 
100,北投區,榮華里,7950.00 
100,北投區,福興里,7556.00 
100,北投區,稻香里,5157.00 
100,北投區,豐年里,4732.00 
100,北投區,關渡里,11309.00 
