,district,village,population_2011,population_2012,population_2013,population_2014,population_2015
383,士林區,社子里,6680.0,6817.0,6836.0,6802.0,6802.0
384,士林區,社園里,7748.0,7837.0,7859.0,7811.0,7811.0
385,士林區,社新里,8900.0,9171.0,9221.0,9328.0,9328.0
386,士林區,芝山里,7928.0,7956.0,7945.0,7956.0,7956.0
387,士林區,前港里,4884.0,4855.0,4849.0,4893.0,4893.0
388,士林區,後港里,8415.0,8496.0,8562.0,8610.0,8610.0
389,士林區,富光里,6262.0,6296.0,6297.0,6308.0,6308.0
390,士林區,富洲里,5799.0,5784.0,5802.0,5857.0,5857.0
391,士林區,菁山里,1741.0,1735.0,1720.0,1714.0,1714.0
392,士林區,陽明里,3112.0,3135.0,3164.0,3146.0,3146.0
393,士林區,新安里,2142.0,2132.0,2125.0,2094.0,2094.0
394,士林區,溪山里,1474.0,1489.0,1496.0,1521.0,1521.0
395,士林區,義信里,3579.0,3552.0,3466.0,3452.0,3452.0
396,士林區,聖山里,5426.0,5376.0,5367.0,5391.0,5391.0
397,士林區,葫東里,4048.0,4118.0,4182.0,4295.0,4295.0
398,士林區,葫蘆里,7913.0,7971.0,7985.0,8144.0,8144.0
399,士林區,福中里,7203.0,7327.0,7389.0,7501.0,7501.0
400,士林區,福安里,4953.0,5022.0,5006.0,4977.0,4977.0
401,士林區,福志里,7831.0,7876.0,7954.0,7921.0,7921.0
402,士林區,福佳里,8188.0,8286.0,8286.0,8346.0,8346.0
403,士林區,福林里,3293.0,3267.0,3250.0,3232.0,3232.0
404,士林區,福華里,6970.0,7007.0,7072.0,6870.0,6870.0
405,士林區,福順里,5338.0,5449.0,5549.0,5642.0,5642.0
406,士林區,福德里,6262.0,6239.0,6128.0,6034.0,6034.0
407,士林區,翠山里,2835.0,2826.0,2802.0,2772.0,2772.0
408,士林區,德行里,4503.0,4555.0,4604.0,4580.0,4580.0
409,士林區,德華里,5978.0,5948.0,5956.0,5964.0,5964.0
410,士林區,臨溪里,3077.0,3075.0,3071.0,3054.0,3054.0
411,士林區,舊佳里,6321.0,6351.0,6384.0,6398.0,6398.0
412,士林區,蘭雅里,8910.0,8973.0,9012.0,9144.0,9144.0
413,士林區,蘭興里,6765.0,6812.0,6860.0,6870.0,6870.0
414,北投區,一德里,7045.0,7225.0,7361.0,7541.0,7541.0
415,北投區,八仙里,5655.0,5663.0,5700.0,5780.0,5780.0
416,北投區,大屯里,1248.0,1255.0,1260.0,1243.0,1243.0
417,北投區,大同里,6205.0,6266.0,6297.0,6283.0,6283.0
418,北投區,中心里,6391.0,6503.0,6539.0,6636.0,6636.0
419,北投區,中央里,9142.0,9210.0,9217.0,9251.0,9251.0
420,北投區,中和里,5187.0,5258.0,5270.0,5254.0,5254.0
421,北投區,中庸里,4565.0,4571.0,4614.0,4591.0,4591.0
422,北投區,文化里,4562.0,4558.0,4560.0,4622.0,4622.0
423,北投區,文林里,4589.0,4546.0,4448.0,4427.0,4427.0
424,北投區,永和里,9358.0,9409.0,9438.0,9563.0,9563.0
425,北投區,永明里,5215.0,5279.0,5322.0,5314.0,5314.0
426,北投區,永欣里,8096.0,8106.0,8122.0,8161.0,8161.0
427,北投區,石牌里,5541.0,5624.0,5709.0,5745.0,5745.0
428,北投區,立農里,9588.0,9702.0,9710.0,9707.0,9707.0
429,北投區,立賢里,5884.0,5965.0,5936.0,5979.0,5979.0
430,北投區,吉利里,7513.0,7551.0,7511.0,7614.0,7614.0
431,北投區,吉慶里,5682.0,5683.0,5729.0,5793.0,5793.0
432,北投區,秀山里,3468.0,3472.0,3484.0,3505.0,3505.0
433,北投區,奇岩里,9945.0,9974.0,9878.0,9876.0,9876.0
434,北投區,東華里,4869.0,4816.0,4849.0,4753.0,4753.0
435,北投區,林泉里,3418.0,3434.0,3498.0,3559.0,3559.0
436,北投區,長安里,6211.0,6257.0,6345.0,6429.0,6429.0
437,北投區,建民里,4116.0,4150.0,4220.0,4489.0,4489.0
438,北投區,泉源里,2518.0,2501.0,2557.0,2518.0,2518.0
439,北投區,洲美里,2198.0,2199.0,2211.0,2256.0,2256.0
440,北投區,振華里,8104.0,8074.0,8148.0,8151.0,8151.0
441,北投區,桃源里,5806.0,5946.0,6128.0,6314.0,6314.0
442,北投區,清江里,9795.0,9804.0,9789.0,9805.0,9805.0
443,北投區,尊賢里,5120.0,5088.0,5132.0,5149.0,5149.0
444,北投區,智仁里,6445.0,6554.0,6585.0,6648.0,6648.0
445,北投區,湖山里,1879.0,1852.0,1815.0,1836.0,1836.0
446,北投區,湖田里,1021.0,1003.0,1014.0,1099.0,1099.0
447,北投區,開明里,6520.0,6654.0,6727.0,6791.0,6791.0
448,北投區,溫泉里,6882.0,7006.0,7030.0,7000.0,7000.0
449,北投區,裕民里,7908.0,7985.0,7949.0,8025.0,8025.0
450,北投區,榮光里,7897.0,8014.0,8078.0,8144.0,8144.0
451,北投區,榮華里,7950.0,7932.0,7931.0,7986.0,7986.0
452,北投區,福興里,7556.0,7577.0,7646.0,7628.0,7628.0
453,北投區,稻香里,5157.0,5208.0,5224.0,5294.0,5294.0
454,北投區,豐年里,4732.0,4883.0,4892.0,4938.0,4938.0
455,北投區,關渡里,11309.0,11435.0,11571.0,11823.0,11823.0
