,district,village,population_2011,population_2012,population_2013,population_2014,population_2015
88,大安區,車層里,6729.0,6703.0,6685.0,6716.0,6716.0
89,大安區,和安里,7511.0,7448.0,7511.0,7505.0,7505.0
90,大安區,昌隆里,3191.0,3172.0,3168.0,3165.0,3165.0
91,大安區,法治里,4627.0,4599.0,4606.0,4613.0,4613.0
92,大安區,臥龍里,1961.0,1996.0,1990.0,1987.0,1987.0
93,大安區,芳和里,6129.0,6114.0,6114.0,6033.0,6033.0
94,大安區,虎嘯里,3759.0,3767.0,3791.0,3813.0,3813.0
95,大安區,建安里,5289.0,5296.0,5303.0,5234.0,5234.0
96,大安區,建倫里,6508.0,6459.0,6470.0,6497.0,6497.0
97,大安區,通化里,6358.0,6410.0,6440.0,6477.0,6477.0
98,大安區,通安里,5824.0,5871.0,5915.0,5901.0,5901.0
99,大安區,敦安里,6716.0,6718.0,6668.0,6707.0,6707.0
100,大安區,敦煌里,6388.0,6437.0,6400.0,6502.0,6502.0
101,大安區,華聲里,4577.0,4556.0,4556.0,4518.0,4518.0
102,大安區,新龍里,7249.0,7268.0,7341.0,7329.0,7329.0
103,大安區,義安里,5670.0,5695.0,5707.0,5679.0,5679.0
104,大安區,義村里,6199.0,6183.0,6163.0,6179.0,6179.0
105,大安區,群英里,7573.0,7455.0,7533.0,7429.0,7429.0
106,大安區,群賢里,6317.0,6224.0,6180.0,6191.0,6191.0
107,大安區,誠安里,4309.0,4368.0,4327.0,4366.0,4366.0
108,大安區,福住里,6748.0,6842.0,6814.0,6873.0,6873.0
109,大安區,德安里,6109.0,6073.0,6028.0,6041.0,6041.0
110,大安區,黎元里,5676.0,5649.0,5751.0,5734.0,5734.0
111,大安區,黎孝里,7712.0,7799.0,7810.0,7897.0,7897.0
112,大安區,黎和里,4886.0,4930.0,4981.0,5011.0,5011.0
113,大安區,學府里,3171.0,3155.0,2978.0,2961.0,2961.0
114,大安區,錦安里,6423.0,6496.0,6495.0,6537.0,6537.0
115,大安區,錦泰里,4774.0,4218.0,4080.0,3818.0,3818.0
116,大安區,錦華里,5879.0,5957.0,6037.0,6088.0,6088.0
117,大安區,龍生里,7155.0,7263.0,7236.0,7295.0,7295.0
118,大安區,龍安里,8074.0,8129.0,8144.0,8404.0,8404.0
119,大安區,龍坡里,6475.0,6381.0,6279.0,6225.0,6225.0
120,大安區,龍門里,4709.0,4675.0,4666.0,4676.0,4676.0
121,大安區,龍泉里,5010.0,5031.0,5091.0,5183.0,5183.0
