year,district,village,total_2012
101,中正區,廈安里,4740.00 
101,中正區,愛國里,3775.00 
101,中正區,新營里,10280.00 
101,中正區,網溪里,5868.00 
101,中正區,黎明里,3644.00 
101,中正區,螢圃里,5602.00 
101,中正區,螢雪里,4574.00 
101,中正區,龍光里,3912.00 
101,中正區,龍福里,8520.00 
101,中正區,龍興里,4596.00 
101,大同區,大有里,5211.00 
101,大同區,民權里,6787.00 
101,大同區,永樂里,5750.00 
101,大同區,玉泉里,3264.00 
101,大同區,光能里,5417.00 
101,大同區,老師里,6139.00 
101,大同區,至聖里,8043.00 
101,大同區,延平里,4205.00 
101,大同區,保安里,4257.00 
101,大同區,南芳里,4120.00 
101,大同區,建功里,4882.00 
101,大同區,建明里,3573.00 
101,大同區,建泰里,3933.00 
101,大同區,星明里,6086.00 
101,大同區,重慶里,7168.00 
101,大同區,國順里,3123.00 
101,大同區,國慶里,4478.00 
101,大同區,揚雅里,4365.00 
101,大同區,斯文里,5489.00 
101,大同區,景星里,2882.00 
101,大同區,朝陽里,4422.00 
101,大同區,隆和里,3225.00 
101,大同區,蓬萊里,5060.00 
101,大同區,鄰江里,6529.00 
101,大同區,雙連里,10401.00 
101,萬華區,仁德里,4780.00 
101,萬華區,日祥里,5876.00 
101,萬華區,日善里,3977.00 
101,萬華區,全德里,4443.00 
101,萬華區,西門里,3975.00 
101,萬華區,孝德里,3447.00 
101,萬華區,和平里,7272.00 
101,萬華區,和德里,7619.00 
101,萬華區,忠貞里,5188.00 
101,萬華區,忠德里,4714.00 
101,萬華區,青山里,5970.00 
101,萬華區,保德里,3394.00 
101,萬華區,柳鄉里,5566.00 
101,萬華區,凌霄里,4019.00 
101,萬華區,頂碩里,7874.00 
101,萬華區,富民里,5453.00 
101,萬華區,富福里,6290.00 
101,萬華區,華中里,6351.00 
101,萬華區,華江里,8726.00 
101,萬華區,菜園里,6151.00 
101,萬華區,新安里,6584.00 
101,萬華區,新和里,8148.00 
101,萬華區,新忠里,3338.00 
101,萬華區,新起里,6787.00 
101,萬華區,萬壽里,3519.00 
101,萬華區,壽德里,5650.00 
