年,行政區,里別,total_2013
102,中正區,廈安里,4833.00 
102,中正區,愛國里,3739.00 
102,中正區,新營里,10323.00 
102,中正區,網溪里,5933.00 
102,中正區,黎明里,3609.00 
102,中正區,螢圃里,5692.00 
102,中正區,螢雪里,4607.00 
102,中正區,龍光里,3965.00 
102,中正區,龍福里,8259.00 
102,中正區,龍興里,4613.00 
102,大同區,大有里,5165.00 
102,大同區,民權里,6912.00 
102,大同區,永樂里,5734.00 
102,大同區,玉泉里,3214.00 
102,大同區,光能里,5521.00 
102,大同區,老師里,6209.00 
102,大同區,至聖里,8194.00 
102,大同區,延平里,4242.00 
102,大同區,保安里,4300.00 
102,大同區,南芳里,4215.00 
102,大同區,建功里,4900.00 
102,大同區,建明里,3605.00 
102,大同區,建泰里,3984.00 
102,大同區,星明里,6210.00 
102,大同區,重慶里,7273.00 
102,大同區,國順里,3129.00 
102,大同區,國慶里,4456.00 
102,大同區,揚雅里,4348.00 
102,大同區,斯文里,5525.00 
102,大同區,景星里,2941.00 
102,大同區,朝陽里,4446.00 
102,大同區,隆和里,3208.00 
102,大同區,蓬萊里,5070.00 
102,大同區,鄰江里,6585.00 
102,大同區,雙連里,10434.00 
102,萬華區,仁德里,4830.00 
102,萬華區,日祥里,5843.00 
102,萬華區,日善里,3945.00 
102,萬華區,全德里,4446.00 
102,萬華區,西門里,3992.00 
102,萬華區,孝德里,3492.00 
102,萬華區,和平里,7257.00 
102,萬華區,和德里,7681.00 
102,萬華區,忠貞里,5216.00 
102,萬華區,忠德里,4656.00 
102,萬華區,青山里,6018.00 
102,萬華區,保德里,3482.00 
102,萬華區,柳鄉里,5620.00 
102,萬華區,凌霄里,4031.00 
102,萬華區,頂碩里,7868.00 
102,萬華區,富民里,5470.00 
102,萬華區,富福里,6304.00 
102,萬華區,華中里,6356.00 
102,萬華區,華江里,8776.00 
102,萬華區,菜園里,6137.00 
102,萬華區,新安里,6526.00 
102,萬華區,新和里,8217.00 
102,萬華區,新忠里,3552.00 
102,萬華區,新起里,6808.00 
102,萬華區,萬壽里,3574.00 
102,萬華區,壽德里,5643.00 
102,萬華區,榮德里,3821.00 
102,萬華區,福星里,5729.00 
102,萬華區,福音里,3717.00 
102,萬華區,綠堤里,4703.00 
102,萬華區,銘德里,4909.00 
102,萬華區,糖?里,5759.00 
102,萬華區,興德里,5151.00 
102,萬華區,錦德里,5775.00 
102,萬華區,雙園里,5060.00 
102,萬華區,騰雲里,3116.00 
102,文山區,木柵里,8850.00 
102,文山區,木新里,10347.00 
102,文山區,老泉里,1002.00 
102,文山區,忠順里,3993.00 
102,文山區,明義里,4736.00 
102,文山區,明興里,7211.00 
102,文山區,指南里,3694.00 
102,文山區,政大里,7515.00 
102,文山區,博嘉里,5718.00 
102,文山區,景仁里,5010.00 
102,文山區,景行里,7233.00 
102,文山區,景東里,7694.00 
102,文山區,景美里,5471.00 
102,文山區,景華里,6324.00 
102,文山區,景慶里,7180.00 
102,文山區,華興里,9101.00 
102,文山區,順興里,7880.00 
102,文山區,萬年里,5627.00 
102,文山區,萬有里,5749.00 
102,文山區,萬和里,3312.00 
102,文山區,萬芳里,8247.00 
102,文山區,萬美里,7359.00 
102,文山區,萬盛里,4875.00 
102,文山區,萬祥里,4904.00 
102,文山區,萬隆里,7743.00 
102,文山區,萬興里,8784.00 
102,文山區,試院里,7220.00 
102,文山區,樟文里,6613.00 
102,文山區,樟林里,8913.00 
102,文山區,樟新里,6048.00 
102,文山區,樟腳里,5917.00 
102,文山區,樟樹里,5107.00 
102,文山區,興光里,3679.00 
102,文山區,興安里,6864.00 
102,文山區,興邦里,4735.00 
102,文山區,興旺里,8435.00 
102,文山區,興昌里,6997.00 
102,文山區,興家里,7977.00 
102,文山區,興泰里,4042.00 
102,文山區,興得里,6324.00 
102,文山區,興業里,5614.00 
102,文山區,興福里,6356.00 
102,文山區,興豐里,4941.00 
102,南港區,九如里,6730.00 
102,南港區,三重里,6015.00 
102,南港區,中南里,4061.00 
102,南港區,中研里,9448.00 
102,南港區,仁福里,5910.00 
102,南港區,玉成里,5187.00 
102,南港區,合成里,7176.00 
102,南港區,成福里,7811.00 
102,南港區,百福里,5520.00 
102,南港區,西新里,5041.00 
102,南港區,東明里,5753.00 
102,南港區,東新里,7494.00 
102,南港區,南港里,6758.00 
102,南港區,重陽里,4411.00 
102,南港區,新光里,3947.00 
102,南港區,新富里,4221.00 
102,南港區,萬福里,4292.00 
102,南港區,聯成里,5407.00 
102,南港區,鴻福里,4778.00 
102,南港區,舊莊里,9792.00 
102,內湖區,大湖里,5647.00 
102,內湖區,五分里,11772.00 
102,內湖區,內湖里,6043.00 
102,內湖區,內溝里,5060.00 
102,內湖區,石潭里,3455.00 
102,內湖區,安泰里,5757.00 
102,內湖區,安湖里,8400.00 
102,內湖區,行善里,6808.00 
102,內湖區,西安里,6797.00 
102,內湖區,西康里,9459.00 
102,內湖區,西湖里,7796.00 
102,內湖區,秀湖里,6477.00 
102,內湖區,明湖里,5760.00 
102,內湖區,東湖里,8956.00 
102,內湖區,金湖里,10346.00 
102,內湖區,金瑞里,7043.00 
102,內湖區,金龍里,5597.00 
102,內湖區,南湖里,5866.00 
102,內湖區,康寧里,9644.00 
102,內湖區,清白里,8502.00 
102,內湖區,港都里,5932.00 
102,內湖區,港富里,10041.00 
102,內湖區,港華里,9491.00 
102,內湖區,港墘里,6369.00 
102,內湖區,湖元里,5812.00 
102,內湖區,湖興里,8660.00 
