,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
134,中山區,恆安里,4237,9791,8967,20649
135,中山區,行孝里,1658024,804,1648637,1655588
136,中山區,朱園里,3089019,3181084,3477692,3362796
137,中山區,中吉里,2056,2618,41325,30447
138,中山區,朱崙里,2383,10716,12581,3095
139,中山區,中原里,--,--,--,--
140,中山區,晴光里,359,9126,12253,10675
141,中山區,劍潭里,--,6124,4921,567
142,中山區,大直里,--,15841,7942,4623
143,中山區,成功里,--,4343,5788,--
144,中山區,永安里,--,--,--,2697
145,中山區,康樂里,--,8600,--,6782
146,中山區,金泰里,--,--,--,10854
147,中山區,北安里,--,--,--,--
148,中山區,中庄里,3911,25593,23022,113914
149,中山區,正守里,6751,6604,6354,6895
150,中山區,正義里,1149,14929,6206,14696
151,中山區,集英里,3673225,3602348,3776095,3737903
152,中山區,新庄里,21591,5122,5451,5725
153,中山區,新福里,1222184,1211559,1256479,1228352
154,中山區,新生里,2793021,2839060,2978979,2950046
155,中山區,江山里,1385722,2658,1373402,1325359
156,中山區,朱馥里,892290,--,930292,895408
157,中山區,民安里,1207036,1221821,1280869,1283701
158,中山區,正得里,2764467,2770626,3020218,2968514
159,中山區,行仁里,3267878,25770,3241666,3268966
160,中山區,下埤里,3433380,631,3433252,3345068
161,中山區,新喜里,2243544,2214632,2320897,2230797
162,中山區,行政里,2599157,2545018,2728365,2590643
163,中山區,松江里,1551863,1611618,1568001,1647361
164,中山區,江寧里,1738415,--,1693695,1654401
165,中山區,聚盛里,2747496,2659407,2717905,2595021
166,中山區,聚葉里,2344824,2275185,2323409,2425445
167,中山區,中山里,1050632,1111954,1104526,1015048
168,中山區,龍洲里,1918137,--,1887205,1787352
169,中正區,網溪里,626406,934674,1029032,1014667
170,中正區,螢圃里,105759,408508,461687,441726
171,中正區,幸福里,2796400,2839180,3029154,2996565
172,中正區,文北里,2473907,2402713,2576033,2595459
173,中正區,光復里,2950784,2773039,2951580,3071730
174,中正區,水源里,1581762,1533782,1659837,1678489
175,中正區,林興里,1771368,1656187,1808374,1859254
176,中正區,板溪里,1370833,1344163,1461472,1515724
177,中正區,梅花里,316576,410599,456084,431149
178,中正區,幸市里,2749144,2734923,2992408,3051129
179,中正區,文盛里,1246879,1201531,1372532,1384269
180,中正區,富水里,930470,834773,883017,853678
181,中正區,東門里,1511839,1460093,1609650,1544303
182,中正區,黎明里,756264,585981,779685,775669
183,中正區,文祥里,22526,20370,25551,13874
184,中正區,龍光里,1049189,1026421,1047580,1044790
185,中正區,龍興里,921366,912151,937030,905119
186,中正區,三愛里,8882,9210,30620,10066
187,中正區,頂東里,--,4634,--,290
188,中正區,新營里,41181,38084,60490,23248
189,中正區,螢雪里,--,--,1229,--
190,中正區,愛國里,--,--,--,--
191,中正區,河堤里,9319,11996,11321,10002
192,中正區,忠勤里,14641,12858,14223,20254
193,中正區,廈安里,1807,1601,2700,722
194,中正區,南門里,3623,170,576,1416
195,中正區,建國里,377467,383835,363262,336450
196,中正區,永昌里,1828283,1769066,1846971,1773637
197,中正區,永功里,2163042,2054825,2157205,2008221
198,中正區,龍福里,2023049,1909997,1940697,1905662
199,中正區,南福里,3747096,3708204,3938776,3762159
200,大同區,永樂里,28173,26060,26251,46354
201,大同區,朝陽里,40,--,23102,804
202,大同區,民權里,22099,17043,15712,71655
203,大同區,重慶里,8335,10505,10211,22073
204,大同區,光能里,1465,5505,13398,1464
205,大同區,保安里,2,--,1336,47
206,大同區,老師里,9183,12054,13539,16139
207,大同區,鄰江里,124099,134238,128638,136183
208,大同區,星明里,704689,686381,758291,750462
209,大同區,雙連里,607501,579627,611857,597915
210,大同區,建功里,1267587,1248378,1258245,1194574
211,大同區,國慶里,632342,633997,653987,622915
212,大同區,隆和里,1300140,1268590,1301877,1226413
213,大同區,建明里,2234973,2328786,2499091,2515204
214,大同區,斯文里,2109406,2049670,2123660,2150584
215,大同區,玉泉里,511231,510384,553551,563959
216,大同區,國順里,877239,870128,925026,874453
217,大同區,建泰里,2058089,1979608,2139446,2098122
218,大同區,南芳里,1573131,1551103,1641439,1609166
219,大同區,至聖里,1598191,1534375,1605962,1527278
220,大同區,大有里,2109000,1992114,2137413,2112155
221,大同區,景星里,922906,889006,944109,901713
222,大同區,延平里,2005249,1857590,1963528,1781330
223,大同區,揚雅里,1331330,1314799,1355373,1305938
224,大同區,蓬萊里,1998119,2006325,2103026,2006863
225,萬華區,忠貞里,779,1626,2189,3681
226,萬華區,新起里,3222797,3207949,3430856,3423084
227,萬華區,興德里,1742489,1742364,2021750,1738916
228,萬華區,全德里,1526815,1480506,1566234,1475562
229,萬華區,保德里,1064310,1147340,1253461,1253925
230,萬華區,日善里,1353945,1346443,1369013,1330965
231,萬華區,壽德里,1802340,1801053,1825881,1748384
232,萬華區,新和里,--,--,--,16600
233,萬華區,榮德里,1301736,1355559,1388138,1321051
234,萬華區,富民里,1984404,1918728,2044215,2145696
235,萬華區,銘德里,1710138,1665295,1741630,1661387
236,萬華區,富福里,78334,82868,80200,49602
237,萬華區,日祥里,1884628,1819615,1890858,1774352
238,萬華區,頂碩里,8507,16075,19124,7054
239,萬華區,華江里,969,944,941,1063
240,萬華區,忠德里,1657,2760,2561,3128
241,萬華區,綠堤里,161,--,2554,--
242,萬華區,錦德里,--,4562,4616,1946
243,萬華區,騰雲里,18,--,--,--
244,萬華區,糖廍里,--,659,6738,65519
245,萬華區,新忠里,--,--,--,--
246,萬華區,萬壽里,272,45099,67480,154942
247,萬華區,凌霄里,3640,10378,8121,5696
248,萬華區,雙園里,4624,4265,3868,37817
249,萬華區,華中里,2352090,2352679,2447270,2338339
250,萬華區,菜園里,1321961,1284822,1361111,1295373
251,萬華區,西門里,754680,788703,820015,789266
252,萬華區,福音里,963201,969207,1017767,989163
253,萬華區,仁德里,1381881,1471792,1578618,1574608
254,萬華區,柳鄉里,755572,726469,773418,773099
255,萬華區,孝德里,875221,861365,883005,849800
256,萬華區,和平里,2620108,2482938,2626805,2498724
257,萬華區,福星里,2710500,2561386,2868829,2664717
258,萬華區,和德里,2641063,2503830,2706258,2549039
259,萬華區,青山里,2311615,2253261,2395625,2420831
260,萬華區,新安里,535398,534845,548407,528956
