south_north,west_east,Time,xlat,xlon,Times,Ta2,RH2,VP2,WS_1,SW_down,time_hour,dayofyear,T_mrt,PET_v,mPET_v,WBGT
0,0,0,24.963715,121.4306,2012-08-15 00:00:00,26.701996,79.83107,27.912024,0.6740463,0.0,0,228,18.093485602993496,22.39099584960934,22.800995849609247,30.049456899642944
0,0,1,24.963715,121.4306,2012-08-15 01:00:00,26.5466,79.56012,27.564663,0.6202604,0.0,1,228,17.915805251403526,22.30560034179685,22.66560034179675,29.824834926605224
0,0,2,24.963715,121.4306,2012-08-15 02:00:00,26.439453,79.03372,27.210405,0.60711974,0.0,2,228,17.80383073382677,22.09845312499996,22.538453124999872,29.624859224319458
0,0,3,24.963715,121.4306,2012-08-15 03:00:00,26.325958,78.23109,26.754864,0.58681154,0.0,3,228,17.681067549890713,22.034958251953093,22.404958251952994,29.381479778289798
0,0,4,24.963715,121.4306,2012-08-15 04:00:00,26.21054,78.02933,26.50516,0.5627876,0.0,4,228,17.555814150040305,21.95954077148435,22.289540771484244,29.217904253005983
0,0,5,24.963715,121.4306,2012-08-15 05:00:00,26.07306,78.03497,26.293205,0.7730781,0.0,5,228,17.522006446223486,21.522059082031177,21.912059082031238,29.056654167175292
0,0,6,24.963715,121.4306,2012-08-15 06:00:00,26.053162,78.06143,26.271276,0.72934556,10.951178,6,228,18.723622052058772,21.98716162109378,22.412161621093663,29.03675429344177
0,0,7,24.963715,121.4306,2012-08-15 07:00:00,26.920715,76.97936,27.2623,0.24209552,129.81503,7,228,29.924217424268477,28.57171533203134,29.021715332031253,29.918129686355588
0,0,8,24.963715,121.4306,2012-08-15 08:00:00,28.089691,73.47081,27.855377,0.43111765,276.80298,8,228,41.04820181273442,34.0606911621092,34.5706911621093,30.814018127441404
0,0,9,24.963715,121.4306,2012-08-15 09:00:00,29.290375,68.29845,27.755014,0.6167231,447.04578,9,228,49.475951719697946,38.29937475585957,39.11137475585923,31.455363153457643
