south_north,west_east,Time,xlat,xlon,Times,Ta2,RH2,VP2,WS_1,SW_down,time_hour,dayofyear,T_mrt,PET_v,mPET_v,WBGT
0,0,0,24.963715,121.4306,2012-06-15 00:00:00,26.050201,82.010254,27.595425,0.6773077,0.0,0,167,17.466483330302594,21.709201416015585,22.10920141601549,29.555466091156006
0,0,1,24.963715,121.4306,2012-06-15 01:00:00,25.853943,82.11057,27.311033,0.7263072,0.0,1,167,17.298498131148563,21.302942871093677,21.832942871093834,29.332421674728394
0,0,2,24.963715,121.4306,2012-06-15 02:00:00,25.726532,81.908485,27.03949,0.56118315,0.0,2,167,17.094302348645442,21.385531982421835,21.875531982421755,29.15346310424805
0,0,3,24.963715,121.4306,2012-06-15 03:00:00,25.555054,82.200806,26.862127,0.44306594,0.0,3,167,16.86441004634071,21.314053710937475,21.844053710937402,28.986531484603884
0,0,4,24.963715,121.4306,2012-06-15 04:00:00,25.433807,82.2116,26.673447,0.4589698,0.0,4,167,16.75543013924704,21.152807373046844,21.692807373046772,28.843633316040037
0,0,5,24.963715,121.4306,2012-06-15 05:00:00,25.210388,82.911026,26.546339,0.47589275,0.0,5,167,16.549219524989155,20.959388183593724,21.439388183593643,28.66700134086609
0,0,6,24.963715,121.4306,2012-06-15 06:00:00,25.499512,82.3606,26.825989,0.234266,44.983234,6,167,21.13037004013063,23.628511718749877,24.118511718749954,28.940836730957034
0,0,7,24.963715,121.4306,2012-06-15 07:00:00,26.409729,79.79472,27.424438,0.10789287,167.48439,7,167,32.329317187199024,30.20072900390636,30.76072900390629,29.692120666503907
0,0,8,24.963715,121.4306,2012-06-15 08:00:00,27.327087,75.80245,27.491175,0.28172538,313.5794,8,167,42.49517330098604,34.98808740234364,35.61808740234371,30.238490213394165
0,0,9,24.963715,121.4306,2012-06-15 09:00:00,28.279388,71.70642,27.487282,0.4421317,449.7877,9,167,49.62275645733473,38.36438842773439,39.35538842773441,30.776914985656738
0,0,10,24.963715,121.4306,2012-06-15 10:00:00,29.030396,68.71365,27.508795,0.35095882,529.12634,10,167,53.669246190128604,41.861395507812354,42.23139550781248,31.211190603256227
