south_north,west_east,Time,xlat,xlon,Times,Ta2,RH2,VP2,WS_1,SW_down,time_hour,dayofyear,T_mrt,PET_v,mPET_v,WBGT
10,8,15,25.150513,121.59433,2014-06-15 15:00:00,24.304901,92.27154,27.99237,0.6805006,287.0638,15,166,39.6057803932959,29.765901123046934,30.505901123046893,28.721880584716796
10,8,16,25.150513,121.59433,2014-06-15 16:00:00,24.164612,92.65504,27.873896,0.5810093,217.44554,16,166,33.30260290388844,27.065611816406378,27.88561181640635,28.595775888442994
10,8,17,25.150513,121.59433,2014-06-15 17:00:00,23.886932,93.41679,27.639538,0.51255167,103.582344,17,166,22.60489998163439,22.365932373046807,23.215932373046783,28.346229015350342
10,8,18,25.150513,121.59433,2014-06-15 18:00:00,23.512177,95.14714,27.52511,0.46736696,42.684086,18,166,17.903633317112792,20.33117651367186,21.13117651367183,28.088772409439088
10,8,19,25.150513,121.59433,2014-06-15 19:00:00,22.733002,96.02244,26.503094,0.3859142,0.0,19,166,14.119309445798876,18.502001708984352,19.252001708984313,27.245327800750733
10,8,20,25.150513,121.59433,2014-06-15 20:00:00,22.529388,95.49372,26.034243,0.2493514,0.0,20,166,13.835504089118956,18.52538842773448,19.33838842773436,26.94562059211731
10,8,21,25.150513,121.59433,2014-06-15 21:00:00,22.621552,95.17146,26.09163,0.4017979,0.0,21,166,14.017811888390725,18.330551513671843,19.080551513671804,27.02043066596985
10,8,22,25.150513,121.59433,2014-06-15 22:00:00,22.532501,95.02892,25.91241,0.26936552,0.0,22,166,13.850319314906585,18.485501220703178,19.2815012207031,26.89950561141968
10,8,23,25.150513,121.59433,2014-06-15 23:00:00,22.492676,94.523224,25.712389,0.48607606,0.0,23,166,13.936867765000216,18.08167578124995,18.561675781249868,26.79831604194641
10,9,0,25.15055,121.6149,2014-06-15 00:00:00,22.999878,92.910736,26.06118,0.6438662,0.0,0,166,14.506472539295771,18.39887792968742,18.996877929687606,27.222974571228026
10,9,1,25.15055,121.6149,2014-06-15 01:00:00,22.97873,92.582085,25.935858,0.77939194,0.0,1,166,14.545433123472776,18.237729248046772,18.757729248046854,27.161731588363647
10,9,2,25.15055,121.6149,2014-06-15 02:00:00,22.82135,92.62693,25.702862,0.68378466,0.0,2,166,14.349868889936431,18.17035009765616,18.73035009765625,26.980930187225344
10,9,3,25.15055,121.6149,2014-06-15 03:00:00,22.761353,92.77971,25.652023,0.74276525,0.0,3,166,14.317889510089913,18.0403525390624,18.570352539062483,26.926932052612305
10,9,4,25.15055,121.6149,2014-06-15 04:00:00,22.715363,92.887115,25.610373,0.653218,0.0,4,166,14.232978374015318,18.08436254882804,18.664362548828173,26.884486974716186
10,9,5,25.15055,121.6149,2014-06-15 05:00:00,22.559845,93.174995,25.449005,0.49038377,0.0,5,166,14.000970761933047,18.108844970703068,18.79884497070302,26.73289111328125
10,9,6,25.15055,121.6149,2014-06-15 06:00:00,23.17566,93.723465,26.569422,0.40271685,32.930256,6,166,16.881602152473533,19.82465917968746,20.604659179687424,27.52238150978088
10,9,7,25.15055,121.6149,2014-06-15 07:00:00,24.077911,90.98312,27.229269,0.08042842,127.67659,7,166,27.59486338099765,26.75891137695322,27.368911376953157,28.293278478622437
10,9,8,25.15055,121.6149,2014-06-15 08:00:00,24.509735,89.34731,27.438839,0.07076409,227.28214,8,166,37.0575393081337,32.1907351074219,32.750735107421846,28.620483516693117
10,9,9,25.15055,121.6149,2014-06-15 09:00:00,24.954926,87.472855,27.585102,0.13450953,303.45667,9,166,43.4955731333925,35.49592553710929,36.305925537109324,28.930387897491453
10,9,10,25.15055,121.6149,2014-06-15 10:00:00,25.41748,85.842575,27.824577,0.19652008,424.3241,10,166,49.80567005023431,38.71848046874996,39.72848046874996,29.286770317077636
10,9,11,25.15055,121.6149,2014-06-15 11:00:00,25.639984,85.64543,28.128792,0.45518625,497.37955,11,166,51.61660116952032,37.830984130859356,38.830984130859356,29.5324861831665
10,9,12,25.15055,121.6149,2014-06-15 12:00:00,25.585693,86.456215,28.304018,0.5885333,455.1586,12,166,49.85564082918722,36.206693359374896,36.92669335937495,29.57056721687317
10,9,13,25.15055,121.6149,2014-06-15 13:00:00,25.523438,88.19214,28.766129,0.8041493,492.3453,13,166,50.70399912122184,35.454437499999834,36.23443749999988,29.716877578735353
10,9,14,25.15055,121.6149,2014-06-15 14:00:00,25.15387,89.91405,28.692131,0.80605054,367.8037,14,166,46.432924753812586,33.04486962890609,33.86486962890613,29.47825157928467
10,9,15,25.15055,121.6149,2014-06-15 15:00:00,24.886597,91.088135,28.60869,0.7894973,287.41287,15,166,41.19188471529259,30.42759667968757,31.257596679687545,29.293915590286257
10,9,16,25.15055,121.6149,2014-06-15 16:00:00,24.71518,91.65175,28.493427,0.7217294,198.25198,16,166,34.33007695468484,27.436179443359475,28.256179443359446,29.15142366409302
10,9,17,25.15055,121.6149,2014-06-15 17:00:00,24.4646,92.55553,28.347626,0.62288225,110.57845,17,166,25.521413337952822,23.773599609374905,24.555599609375,28.95204489135742
10,9,18,25.15055,121.6149,2014-06-15 18:00:00,24.098663,94.26174,28.245554,0.5526291,40.035522,18,166,18.30271494525192,20.72766333007808,21.507663330078046,28.704444818496704
10,9,19,25.15055,121.6149,2014-06-15 19:00:00,23.279327,95.25164,27.171867,0.40965772,0.0,19,166,14.662778766444376,19.0283273925781,19.77832739257806,27.817922508239747
10,9,20,25.15055,121.6149,2014-06-15 20:00:00,23.109894,94.71401,26.743958,0.16809055,0.0,20,166,14.342973147280304,19.338893798828018,20.138893798827986,27.55368508911133
10,9,21,25.15055,121.6149,2014-06-15 21:00:00,23.097198,94.52689,26.670685,0.31750458,0.0,21,166,14.429299658253228,18.996198486328122,19.756198486328085,27.517690673828124
10,9,22,25.15055,121.6149,2014-06-15 22:00:00,23.01297,94.34685,26.484928,0.31101924,0.0,22,166,14.342892064681905,18.911969970703122,19.671969970703085,27.396930728912356
10,9,23,25.15055,121.6149,2014-06-15 23:00:00,23.036041,93.69659,26.339043,0.52180284,0.0,23,166,14.483464840689635,18.585041259765568,19.265041259765518,27.352679161071777
10,10,0,25.150612,121.63547,2014-06-15 00:00:00,23.568054,92.27335,26.783577,0.53301144,0.0,0,166,15.004089609234484,19.137054199218696,19.797054199218643,27.82903247833252
10,10,1,25.150612,121.63547,2014-06-15 01:00:00,23.499878,91.7007,26.508478,0.6858582,0.0,1,166,15.010547597291747,18.888877929687418,19.462877929687565,27.682262704849244
10,10,2,25.150612,121.63547,2014-06-15 02:00:00,23.352356,91.90667,26.333225,0.55199885,0.0,2,166,14.802816439187836,18.88135595703119,19.521355957031133,27.529743350982667
10,10,3,25.150612,121.63547,2014-06-15 03:00:00,23.262146,92.16222,26.26337,0.58635354,0.0,3,166,14.73269869365663,18.751145996093683,19.371145996093624,27.451141391754152
10,10,4,25.150612,121.63547,2014-06-15 04:00:00,23.190216,92.455154,26.232885,0.52347416,0.0,4,166,14.631516787612611,18.74921606445307,19.409216064453016,27.39837645530701
10,10,5,25.150612,121.63547,2014-06-15 05:00:00,23.104126,92.45671,26.097492,0.4272166,0.0,5,166,14.495635415345589,18.793125976562465,19.483125976562416,27.296353870391844
10,10,6,25.150612,121.63547,2014-06-15 06:00:00,23.721863,93.134026,27.284323,0.26323593,32.931286,6,166,17.342305252585277,20.86086279296863,21.52086279296873,28.113035039901735
