,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
137,中山區,新庄里,6363,5260,5597,5317
138,中山區,朱崙里,1720,199,9206,1678
139,中山區,金泰里,--,--,--,--
140,中山區,北安里,--,--,--,--
141,中山區,中原里,50,--,--,--
142,中山區,康樂里,37,7400,--,9
143,中山區,晴光里,289,9231,9014,305
144,中山區,劍潭里,--,5461,5037,1228
145,中山區,大直里,--,13028,6994,4760
146,中山區,成功里,--,3831,4768,105
147,中山區,永安里,--,--,--,1944
148,中山區,中庄里,3613,15422,20805,93776
149,中山區,正義里,614,14721,5384,12591
150,中山區,新喜里,1391724,1427502,1381834,1360172
151,中山區,民安里,766879,866091,838083,839068
152,中山區,力行里,1507945,10960,1432394,1477510
153,中山區,新福里,767831,791467,743318,732453
154,中山區,中山里,681426,774463,723284,713329
155,中山區,新生里,1812629,1935087,1874361,1860292
156,中山區,龍洲里,1135884,--,1070099,1031835
157,中山區,正得里,1886661,1979753,2032786,2025629
158,中山區,圓山里,1406714,1443336,1390907,1391133
159,中山區,松江里,1011123,1077921,988657,1007638
160,中山區,聚葉里,1542087,1531291,1454687,1516983
161,中山區,江寧里,1063962,--,977602,973872
162,中山區,行政里,1696540,1694321,1722094,1616402
163,中山區,行仁里,2097698,25528,1976757,1970111
164,中山區,埤頭里,489184,462479,501054,505037
165,中山區,復華里,1808750,287,1897729,1846468
166,中山區,下埤里,2227632,572,2074799,1980715
167,中山區,興亞里,2578969,2432544,2551741,2417318
168,中山區,朱園里,2312211,2292933,2384515,2315754
169,中正區,螢圃里,71550,279319,284105,276826
170,中正區,網溪里,427917,639346,640006,636655
171,中正區,梅花里,222136,298507,312649,297644
172,中正區,光復里,2185003,2131192,2139497,2239756
173,中正區,文祥里,15688,14059,15178,8036
174,中正區,忠勤里,7762,8077,8517,14615
175,中正區,頂東里,16,4323,--,292
176,中正區,愛國里,--,--,--,--
177,中正區,螢雪里,--,--,1031,135
178,中正區,廈安里,876,889,1897,448
179,中正區,新營里,24878,28029,36003,19051
180,中正區,河堤里,5764,8861,7857,6850
181,中正區,南門里,1927,135,302,1253
182,中正區,三愛里,7186,7547,17670,7751
183,中正區,龍興里,568666,563848,572193,576389
184,中正區,建國里,263477,307135,248865,240603
185,中正區,黎明里,609095,469175,603532,602541
186,中正區,龍光里,668527,640018,646925,672003
187,中正區,永功里,1396932,1333935,1353920,1343319
188,中正區,富水里,676899,615776,606649,574208
189,中正區,板溪里,999815,992197,985929,1010046
190,中正區,永昌里,1161900,1093594,1136165,1150460
191,中正區,水源里,1163656,1160743,1113101,1139141
192,中正區,文盛里,921634,897616,934230,929107
193,中正區,龍福里,1284666,1224404,1225356,1267471
194,中正區,東門里,1023762,986323,995823,974317
195,中正區,林興里,1269969,1159064,1143370,1195813
196,中正區,南福里,2415008,2402494,2522913,2504655
197,中正區,幸福里,2058742,2072868,2041511,2018008
198,中正區,文北里,1819952,1696784,1709882,1689161
199,中正區,幸市里,2105256,2009202,2113528,2092804
200,大同區,隆和里,812010,829099,827274,821845
201,大同區,永樂里,17466,17648,17761,21674
202,大同區,斯文里,1299665,1312594,1293704,1343273
203,大同區,至聖里,950414,951666,938366,967508
204,大同區,南芳里,986362,1007413,1015416,1027753
205,大同區,蓬萊里,1231387,1270450,1283595,1284890
206,大同區,國慶里,378204,395998,385592,387288
207,大同區,雙連里,365744,369349,358873,383707
208,大同區,星明里,440467,462399,464591,499591
209,大同區,建功里,828734,901207,833451,802667
210,大同區,民權里,10484,11032,9340,44679
211,大同區,國順里,545490,567500,574187,566004
212,大同區,朝陽里,42,--,13893,881
213,大同區,重慶里,5489,9133,7922,15297
214,大同區,光能里,1449,5441,11207,2142
215,大同區,保安里,--,--,2200,40
216,大同區,大有里,1276563,1331418,1349072,1386387
217,大同區,老師里,7098,8987,7573,13963
218,大同區,鄰江里,79027,91906,84029,80120
219,大同區,建泰里,1337804,1435022,1423169,1441988
220,大同區,揚雅里,817517,847947,830367,830844
221,大同區,延平里,1257065,1292004,1233552,1190636
222,大同區,玉泉里,346393,373780,390649,391782
223,大同區,景星里,579890,581493,590941,591915
224,大同區,建明里,1454584,1639751,1658760,1682847
225,萬華區,忠貞里,379,831,1630,3191
226,萬華區,新起里,2122629,2103111,2207867,2168275
227,萬華區,新和里,--,--,--,11696
228,萬華區,興德里,1129883,1098309,1309242,1111490
229,萬華區,福星里,1770206,1778363,1841181,1822594
230,萬華區,凌霄里,2008,7939,5003,3842
231,萬華區,華江里,811,805,832,901
232,萬華區,糖?里,--,659,5191,44530
233,萬華區,新忠里,--,--,--,--
234,萬華區,萬壽里,6,38839,46007,113074
235,萬華區,騰雲里,--,--,--,7
236,萬華區,綠堤里,--,--,1952,--
237,萬華區,錦德里,--,3796,3734,1930
238,萬華區,富福里,64213,65602,59480,32082
239,萬華區,忠德里,1037,1289,1464,1497
240,萬華區,頂碩里,7076,13141,13536,5394
241,萬華區,雙園里,3150,2891,2442,22443
242,萬華區,福音里,638211,645926,674820,631943
243,萬華區,仁德里,904891,963694,1036746,982469
244,萬華區,菜園里,845334,801832,847686,782532
245,萬華區,柳鄉里,495480,464312,501950,473656
246,萬華區,富民里,1277663,1221714,1306481,1350489
247,萬華區,全德里,981591,916135,981857,915109
248,萬華區,保德里,700620,722155,804658,801535
249,萬華區,日善里,877512,839742,889933,843996
250,萬華區,西門里,552132,553542,578810,532989
251,萬華區,和平里,1600956,1528384,1559823,1604397
252,萬華區,榮德里,846781,835697,906281,881880
253,萬華區,孝德里,585701,547111,568853,565317
254,萬華區,壽德里,1165352,1129851,1162152,1131300
255,萬華區,和德里,1648971,1582091,1672693,1685522
256,萬華區,青山里,1517688,1491762,1549077,1527649
257,萬華區,日祥里,1212268,1133692,1196170,1126791
258,萬華區,銘德里,1115343,1026495,1101251,1073391
259,萬華區,華中里,1526421,1470667,1565390,1533859
260,萬華區,新安里,346661,316218,343555,312365
261,文山區,興豐里,1285064,1182360,1264243,1193834
262,文山區,興旺里,806568,1806993,1958753,1914068
263,文山區,景慶里,1331295,1276810,911539,910685
264,文山區,萬祥里,1060963,1072262,1118327,1032944
265,文山區,景行里,1730662,1773758,1788155,1782236
266,文山區,老泉里,--,486,503,339
267,文山區,景仁里,1074277,1033148,807479,919983
268,文山區,試院里,--,--,5895,--
269,文山區,樟林里,--,--,--,1302
270,文山區,樟新里,--,--,--,--
271,文山區,樟腳里,--,24160,14000,--
272,文山區,萬芳里,--,617,9040,1542
273,文山區,博嘉里,--,4426,--,--
274,文山區,萬興里,--,8520,36440,--
275,文山區,指南里,--,--,--,--
276,文山區,明興里,--,--,3697,--
277,文山區,木柵里,--,--,--,3646
278,文山區,木新里,--,4160,4080,325
279,文山區,萬美里,149,--,--,--
280,文山區,政大里,--,--,4547,--
281,文山區,樟文里,--,1926,--,17400
282,文山區,興邦里,371261,1134763,1162232,1152131
283,文山區,樟樹里,--,--,2352,2191
284,文山區,華興里,94,93,94,41
285,文山區,順興里,67,4947,143,89
286,文山區,興家里,440,2425,502,487
287,文山區,忠順里,2003,23928,--,--
288,文山區,明義里,158,96,101,--
289,文山區,萬年里,1385016,7815,1072129,1033966
