VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,field_1,lon,lat,T_11_0,T_11_1,T_11_2,T_11_3,T_11_4,T_11_5,T_11_6,T_11_7,T_11_8,T_11_9,T_11_10,T_11_11,T_11_12,T_11_13,T_11_14,T_11_15,T_11_16,T_11_17,T_11_18,T_11_19,T_11_20,T_11_21,T_11_22,T_11_23,T_12_0,T_12_1,T_12_2,T_12_3,T_12_4,T_12_5,T_12_6,T_12_7,T_12_8,T_12_9,T_12_10,T_12_11,T_12_12,T_12_13,T_12_14,T_12_15,T_12_16,T_12_17,T_12_18,T_12_19,T_12_20,T_12_21,T_12_22,T_12_23,T_13_0,T_13_1,T_13_2,T_13_3,T_13_4,T_13_5,T_13_6,T_13_7,T_13_8,T_13_9,T_13_10,T_13_11,T_13_12,T_13_13,T_13_14,T_13_15,T_13_16,T_13_17,T_13_18,T_13_19,T_13_20,T_13_21,T_13_22,T_13_23,T_14_0,T_14_1,T_14_2,T_14_3,T_14_4,T_14_5,T_14_6,T_14_7,T_14_8,T_14_9,T_14_10,T_14_11,T_14_12,T_14_13,T_14_14,T_14_15,T_14_16,T_14_17,T_14_18,T_14_19,T_14_20,T_14_21,T_14_22,T_14_23,n,distance,feature_x,feature_y,nearest_x,nearest_y
"63000020030",臺北市,信義區,三張里,Sanzhang Vil.,A,"63000",A17,"63000020",,25.02008_121.57422,121.574219999999997,25.020080000000000,21.077688964843741,20.817187255859352,20.839722656249990,20.504970458984342,20.617750000000001,20.229882568359336,23.299459472656288,30.586244140625137,37.290252929687377,42.562037597656101,44.662242675781080,43.817302490234304,42.019143310546873,41.226317382812439,40.293885742187378,38.386919189453074,35.369748779296870,30.561698730468741,25.720298828124879,22.631436523437358,22.225787109374860,21.872439208984478,21.430390380859365,21.204201416015604,20.679104980468725,20.463964599609344,20.335545410156211,20.440357421874982,20.367027343749999,20.285024658203163,22.912620605468742,29.827838378906332,35.139096923828120,39.709513183593593,41.596620117187328,40.713303466796781,39.939345947265537,39.818534179687376,37.471148925781087,34.537685791015527,31.295757080078261,28.418585449218789,24.317972167968733,21.505490478515600,21.374006103515622,20.975347656249969,20.841608642578091,20.712111572265588,21.523608886718783,21.432223876953124,21.239777099609469,21.031590332031289,20.832756103515621,20.661297363281243,23.723401855468634,31.142381835937503,37.910011230468598,42.210466552734367,44.601200195312416,44.181061035156183,42.083130126952959,41.653385253906166,41.502799316406126,38.415056396484317,34.986770263671787,30.948283935547011,26.056236328124999,22.629838623046847,22.378343505859387,22.205688232421920,21.884555419921877,21.817914062500087,21.013861328125056,21.084767822265491,21.002137207031119,20.772000488281108,20.310514892578105,20.264780029296858,22.420699218749924,28.184111572265635,33.024732910156217,37.334322753906122,41.008062988281154,41.883314453124861,39.883098388671804,38.062358642578161,36.350760742187376,34.260855957031083,31.553974853515715,27.271752441406345,24.280802978515570,21.792757324218744,21.464112304687490,21.184639648437479,21.210754638671901,21.291736816406114,"1",0.007484995668730,121.569023304998510,25.025466977002218,121.574219999999997,25.020080000000000
"63000020026",臺北市,信義區,大道里,Dadao Vil.,A,"63000",A17,"63000020",,25.038704_121.57416,121.574160000000006,25.038703999999999,23.027527832031119,22.766915039062361,22.732249511718621,22.284904541015621,22.251685546875109,21.973238281249994,24.365751708984241,30.547287841796912,37.532253662109326,42.993954101562402,44.497688232421872,43.297977539062472,40.971750732421810,40.542544189452947,39.753294921874939,37.911862060547037,35.119699951171711,30.888031250000051,26.484137939453099,23.910188964843744,23.693439208984408,23.549742187499863,23.365690673827988,23.140328124999861,22.524527343749877,22.158909912109479,21.960414062500032,21.878410156250059,21.755490478515483,21.628151611327983,23.781317871093790,29.668987060547011,34.657937988281326,38.387035156249830,40.520702148437479,39.688241210937342,39.083708251953247,38.846733154297056,36.579520507812482,34.485858398437394,32.300384765625026,29.032970458984277,24.999893554687429,22.845799316406211,22.788310302734363,22.649821533203117,22.589107666015625,22.505409667968827,23.610033935546770,23.335961669921758,23.140507568359261,22.905685791015514,22.673914550781134,22.449233154296760,24.904480957031161,31.242766357421964,38.531960693359217,42.547389160156101,44.291183105468662,43.847362304687429,41.731078124999840,40.932260986328110,40.308547607421737,37.646620117187368,34.634771972656203,31.211644531250037,27.035743164062477,24.654407470703227,24.444847167968629,24.307917236328013,24.022740234374886,23.817947753906139,22.742356933593644,22.674447998046780,22.388135742187380,22.268448242187389,21.840982421874862,21.590393554687594,23.460064453124957,28.222146240234466,32.856043945312408,36.736333251953042,40.345088134765582,41.656013427734223,39.184233642578114,37.820038574218863,35.213973632812362,34.284128662109360,31.129253173828182,27.866142333984332,25.043180908203027,23.175084960937504,23.010397460937519,22.965990966796731,22.965428222656136,22.932533935546772,"1",0.006140131224093,121.580172754992603,25.039948181999584,121.574160000000006,25.038703999999999
"63000040002",臺北市,中山區,正義里,Zhengyi Vil.,A,"63000",A10,"63000040",,25.057198_121.53296,121.532960000000003,25.057198000000000,23.903583740234279,23.702563232421770,23.853871826171822,23.480513671874924,23.279156249999915,23.255502685546819,25.373908447265560,30.814057861328145,36.324304443359239,41.918618408203123,44.972195068359376,44.705555664062487,43.371454101562463,44.602723632812427,43.179524169921862,40.068814941406153,35.818835693359368,31.951263671875129,27.450874999999861,24.839446777343618,24.586723388671757,24.423459228515519,24.187383789062391,24.170531982421782,23.201722167968622,22.963112548827983,22.902284912109248,22.751885742187383,22.676960205078029,22.646550048828050,24.601142333984271,29.719846435546959,34.736384521484233,38.866427246093579,41.272188964843671,41.373219970703154,40.774974609374979,40.590512939453120,38.275869384765606,36.269616943359239,32.261618896484350,29.488169189453256,25.774650634765582,23.586851562499980,23.486147216796869,23.358833496093759,23.259880126953121,23.276701416015488,24.395966552734286,24.273197998046800,24.029574951171799,23.836287597656170,23.700152343749934,23.528299316406198,25.786113037109324,31.497334228515680,38.472759033203054,43.654289794921802,44.704858642578039,44.568670898437361,43.151090332031096,43.284250732421711,42.877563720703009,39.852634521484291,37.176635986328115,32.831811767578088,28.180049804687396,25.640765136718649,25.220151123046769,25.101644042968658,24.865315917968658,24.576507324218657,23.464052490234291,23.279877685546783,23.141268066406170,23.053737548828057,22.597613281249899,22.491414550781158,24.055314697265601,28.170138183593771,32.885224853515602,37.300873046874877,41.003291259765533,42.108408447265461,40.723012939453113,40.332810302734231,37.287092529296842,35.248390136718648,32.170330078125197,28.942096191406257,25.814401611328069,23.809442138671955,23.608796630859441,23.507769531249860,23.541111816406136,23.509906982421779,"1",0.007371029014621,121.527676159040482,25.052058632971963,121.532960000000003,25.057198000000000
"63000030015",臺北市,大安區,龍安里,Long'an Vil.,A,"63000",A02,"63000030",,25.019943_121.53311,121.533109999999994,25.019943000000001,23.873149169921785,23.675221923828037,23.586397460937416,23.296111816406160,23.258843749999919,23.035738281249920,25.390094970703068,31.327142578125109,37.372718749999848,43.266087890624910,45.123684326171833,44.106502929687402,43.445991455078072,42.628285156249937,41.495909667968689,39.211510253906120,36.181213623046808,31.591427246093829,27.268778076171973,24.814924072265505,24.578354248046764,24.338886474609279,24.130134033203021,24.155499023437411,23.329487060546779,23.024327148437383,22.841271728515508,22.751399902343643,22.766249755859299,22.580276855468679,24.558653320312398,30.162319580078130,35.048967529296874,39.480876708984255,41.339078613281146,41.014171386718630,40.082818847656164,40.113949218749902,37.921222167968594,35.841262451171843,31.824983154297009,29.171020751953218,25.810174316406211,23.583172363281243,23.421481689453124,23.370083984374858,23.364624999999872,23.362697509765521,24.559886230468699,24.385396484374947,24.190768798828085,23.923992675781204,23.734449218749958,23.526951660156211,26.062547851562581,32.379391113281201,38.890296874999848,42.448989501953086,44.358755126953113,43.962505126953104,43.635027099609331,43.147828613281128,42.907541748046761,38.268001953124845,36.242208496093731,32.569287353515563,28.091736816406119,25.556452392578013,25.253499511718658,25.159255126953049,25.005601562499933,24.725206054687437,23.510197509765550,23.412074951171807,23.232243408203050,23.120501464843688,22.740437988281158,22.486745361328037,24.331942382812599,28.963876464843644,33.113546386718681,37.136306396484287,40.810147949218695,41.547204833984338,40.537054687499854,38.565317626953110,37.395764404296848,35.238458496093664,32.239175537109581,28.535916503906225,25.654939941406170,23.794878906249860,23.721863769531119,23.610729736328000,23.528346923828018,23.550732177734290,"1",0.006214126452706,121.533533846326051,25.026142654979282,121.533109999999994,25.019943000000001
"63000010015",臺北市,松山區,中華里,Zhonghua Vil.,A,"63000",A01,"63000010",,25.057274_121.55353,121.553529999999995,25.057274000000000,23.744147705078021,23.574327148437398,23.670873779296805,23.371624511718665,23.188395751953035,23.076805175781168,25.300605224609306,30.847608886718778,36.483480468749832,42.076003662109336,44.299002929687433,43.968415771484302,42.455475097656183,42.386023193359328,41.305553222656179,38.781931396484310,35.953442626953098,31.548773437500081,27.192720703124994,24.662189453125102,24.407643798827998,24.290146240234264,24.052789062499883,23.960495361328011,23.070026611327989,22.810420410156350,22.695738281249863,22.586039794921746,22.578581298828027,22.432952636718657,24.396963867187370,29.768382812500096,34.639559570312372,38.418901611328025,40.839498046875029,40.669800048828058,40.250769287109229,39.543907714843719,37.742711425781110,35.478471923828124,32.229161621093709,29.460940185547017,25.479468749999931,23.330926269531211,23.267088378906234,23.185496582031242,23.105815185546863,23.044141601562497,24.265990966796782,24.063191894531158,23.900514892578041,23.691681884765536,23.547103027343677,23.377284912109307,25.605922607421807,31.492057128906310,38.250471435546842,43.546947265624929,44.935968261718607,44.943503662109350,42.897450195312381,42.169870849609211,41.400635009765558,38.171073242187326,36.183988281249945,32.213904052734414,27.835203613281116,25.399520019531131,25.049799560546763,24.971647705078027,24.678626464843649,24.394567626953016,23.325286621093657,23.220632080078037,23.104402832031170,22.885763916015534,22.480137695312383,22.430396484374896,24.113953613281240,28.161461425781280,32.895775390624969,37.127252441406164,40.899874511718671,41.893353515624881,40.334745117187353,39.030396972656128,36.539489990234259,34.516401123047032,31.409654785156292,28.546561035156241,25.637762207031180,23.652050292968784,23.444897949218756,23.365545410156319,23.395550292968625,23.399737304687399,"1",0.001200060997023,121.552884759235042,25.056262164661707,121.553529999999995,25.057274000000000
"63000010024",臺北市,松山區,新聚里,Xinju Vil.,A,"63000",A01,"63000010",,25.057335_121.5741,121.574100000000001,25.057334999999998,23.709450439453025,23.513007568359271,23.581578124999925,23.304078124999911,23.125009521484280,22.891424316406141,25.162112792968671,30.867364746093781,37.093885742187418,42.555849853515497,44.231964355468683,43.206526123046743,41.084177490234360,41.005031982421883,40.316058593749887,38.259654541015792,35.418045898437363,31.570025878906332,27.085572265624990,24.568373535156361,24.351960205078001,24.234075683593641,24.014399169921763,23.840632080078013,23.171646484374889,22.862388671874879,22.712751220703005,22.571800292968629,22.525418457031147,22.376677001953027,24.429487060546755,30.270355468750012,34.835041748046713,38.277041259765546,40.492342773437365,40.235120605468907,39.718705078124962,39.411976562499987,36.989077392578096,35.499430175781235,32.879133544922063,29.876983886718804,25.513295654296822,23.386961425781234,23.277457031249991,23.161337646484370,23.134295654296924,23.139261230468616,24.223613037109285,23.995116943359282,23.898339599609297,23.661624511718671,23.408327392578041,23.283737548828054,25.592964843749940,31.711631103515725,38.683695312499886,43.027943359374838,44.675245605468668,44.548874755859231,42.388835693359361,41.343247314453080,40.308019042968652,38.180651123047006,35.540200439452967,31.668751464843801,27.597780761718781,25.265527099609258,24.985651611328013,24.885811523437400,24.583411621093649,24.345750488281144,23.329590820312411,23.300135253906177,23.132695068359300,22.919721435546798,22.600951904296782,22.392363037109281,24.289843505859235,28.477870117187571,33.301634765624890,36.934110351562445,40.504392333984370,41.675418945312416,39.607699218749971,38.561856933593695,36.571567626952991,34.602364746093741,31.855860839843864,28.306075195312463,25.588678955078048,23.718006347656114,23.488279052734480,23.395729736327983,23.400658935546758,23.374744628906157,"1",0.007103888289533,121.570463782999227,25.051232283002346,121.574100000000001,25.057334999999998
"63000010030",臺北市,松山區,敦化里,Dunhua Vil.,A,"63000",A01,"63000010",,25.038643_121.55359,121.553590000000000,25.038643000000000,23.617293457031131,23.446852783203006,23.479980224609282,23.081780761718637,23.008438476562389,22.799351562499886,25.185896972656170,31.039441162109441,36.974988037109298,43.161010986328058,44.865780273437501,43.885202880859310,42.307855468749963,41.857112060546733,40.953772705078173,38.974677978515523,36.135406738281183,31.421866699218810,27.093029541015618,24.555163330077985,24.288440917968611,24.176304687499886,23.973361572265507,23.879379638671764,23.002563232421743,22.703876464843852,22.564867919921731,22.504546874999868,22.474452880859268,22.273901123046770,24.300271972656120,29.692778564453214,34.505896240234279,38.760825439452951,40.937999511718729,40.263515625000124,40.049406982421765,39.370775390624999,37.556609130859272,35.005991455078011,32.354974609374942,29.194328857421979,25.565093749999946,23.279931396484336,23.194740966796854,23.175428222656247,23.116795898437520,23.017607421875077,24.281193603515550,24.088464111328047,23.917719482421798,23.622520507812418,23.387657226562418,23.154167236328043,25.708266357421842,31.486687255859440,38.240238281249965,42.740018554687403,44.798705078124890,44.477276855468624,42.575455566406205,42.210907226562334,41.508413330078056,38.101456542968606,35.356023193359285,31.936600585937576,27.737884277343792,25.288921874999875,25.051896728515519,24.915842041015534,24.706349853515533,24.433370117187408,23.294881347656158,23.215110839843668,23.043335937499911,22.856425537109285,22.398907226562372,22.201061767578000,24.031757568359360,28.276883789062545,32.615368896484291,36.911607910156199,40.394686523437322,41.640708251953050,39.916350341796814,38.135669189452969,36.640128417968633,34.787457519531223,31.585838867187565,28.438353027343734,25.486043457031158,23.620950683593779,23.486228759765684,23.383908447265483,23.441208251953011,23.390907958984275,"1",0.006009969725680,121.552442690002778,25.044542441996825,121.553590000000000,25.038643000000000
"63000030022",臺北市,大安區,龍圖里,Longtu Vil.,A,"63000",A02,"63000030",,25.038582_121.53302,121.533019999999993,25.038582000000002,23.850411132812400,23.671528076171779,23.697555908203054,23.299579833984279,23.209563964843657,23.089358886718671,25.326900390624932,30.995392089843804,36.582312255859399,42.396950927734267,44.923639892578166,44.409654785156093,43.368746582031221,43.274289794921870,42.045526855468921,39.197209716796735,36.035885253906201,31.677997070312585,27.332452392578205,24.796631835937369,24.512413085937379,24.343686279296769,24.154994873046768,24.123849853515534,23.222070068359258,22.925739501952989,22.808849853515500,22.738692382812385,22.664651855468652,22.559806884765543,24.508509277343641,29.782258544921973,34.373708740234306,39.202472167968693,41.130592285156197,40.699909912109312,40.284183593749866,40.249657226562370,37.705171142578003,35.802943359374957,31.993806884765643,29.421364990234501,25.810408691406213,23.527118896484360,23.390534423828115,23.335911621093786,23.270833496093804,23.285931152343625,24.471960205078052,24.343168701171816,24.172068847656199,23.870522216796811,23.660723632812442,23.443947509765565,25.919065917968734,31.676541992187584,39.195943847656231,43.603760009765558,44.895417724609253,44.932535644531242,43.437640624999993,43.199376464843610,42.705760742187429,38.830110107421802,36.288558593749961,32.723510986328108,28.084892333984254,25.590520996093641,25.254963134765529,25.128999999999920,24.936150878906169,24.650882324218671,23.478152832031171,23.393205322265558,23.260475830078065,23.058875488281185,22.602293457031152,22.384275878906152,24.159588378906243,28.494410644531325,32.729963867187557,37.014973388671820,40.834745117187445,41.659332519531183,40.401819091796739,39.658670898437485,37.255890136718733,35.331115966796759,31.932641845703237,28.429814208984340,25.623873046874920,23.788546386718849,23.660469726562361,23.495074218749860,23.537817138671770,23.499389404296782,"1",0.006971388791876,121.537773785007857,25.033482804986424,121.533019999999993,25.038582000000002
"63000030013",臺北市,大安區,古風里,Gufeng Vil.,A,"63000",A02,"63000030",,25.019943_121.53311,121.533109999999994,25.019943000000001,23.873149169921785,23.675221923828037,23.586397460937416,23.296111816406160,23.258843749999919,23.035738281249920,25.390094970703068,31.327142578125109,37.372718749999848,43.266087890624910,45.123684326171833,44.106502929687402,43.445991455078072,42.628285156249937,41.495909667968689,39.211510253906120,36.181213623046808,31.591427246093829,27.268778076171973,24.814924072265505,24.578354248046764,24.338886474609279,24.130134033203021,24.155499023437411,23.329487060546779,23.024327148437383,22.841271728515508,22.751399902343643,22.766249755859299,22.580276855468679,24.558653320312398,30.162319580078130,35.048967529296874,39.480876708984255,41.339078613281146,41.014171386718630,40.082818847656164,40.113949218749902,37.921222167968594,35.841262451171843,31.824983154297009,29.171020751953218,25.810174316406211,23.583172363281243,23.421481689453124,23.370083984374858,23.364624999999872,23.362697509765521,24.559886230468699,24.385396484374947,24.190768798828085,23.923992675781204,23.734449218749958,23.526951660156211,26.062547851562581,32.379391113281201,38.890296874999848,42.448989501953086,44.358755126953113,43.962505126953104,43.635027099609331,43.147828613281128,42.907541748046761,38.268001953124845,36.242208496093731,32.569287353515563,28.091736816406119,25.556452392578013,25.253499511718658,25.159255126953049,25.005601562499933,24.725206054687437,23.510197509765550,23.412074951171807,23.232243408203050,23.120501464843688,22.740437988281158,22.486745361328037,24.331942382812599,28.963876464843644,33.113546386718681,37.136306396484287,40.810147949218695,41.547204833984338,40.537054687499854,38.565317626953110,37.395764404296848,35.238458496093664,32.239175537109581,28.535916503906225,25.654939941406170,23.794878906249860,23.721863769531119,23.610729736328000,23.528346923828018,23.550732177734290,"1",0.002295300268027,121.531617813158547,25.021687070454604,121.533109999999994,25.019943000000001
"63000030008",臺北市,大安區,昌隆里,Changlong Vil.,A,"63000",A02,"63000030",,25.038582_121.53302,121.533019999999993,25.038582000000002,23.850411132812400,23.671528076171779,23.697555908203054,23.299579833984279,23.209563964843657,23.089358886718671,25.326900390624932,30.995392089843804,36.582312255859399,42.396950927734267,44.923639892578166,44.409654785156093,43.368746582031221,43.274289794921870,42.045526855468921,39.197209716796735,36.035885253906201,31.677997070312585,27.332452392578205,24.796631835937369,24.512413085937379,24.343686279296769,24.154994873046768,24.123849853515534,23.222070068359258,22.925739501952989,22.808849853515500,22.738692382812385,22.664651855468652,22.559806884765543,24.508509277343641,29.782258544921973,34.373708740234306,39.202472167968693,41.130592285156197,40.699909912109312,40.284183593749866,40.249657226562370,37.705171142578003,35.802943359374957,31.993806884765643,29.421364990234501,25.810408691406213,23.527118896484360,23.390534423828115,23.335911621093786,23.270833496093804,23.285931152343625,24.471960205078052,24.343168701171816,24.172068847656199,23.870522216796811,23.660723632812442,23.443947509765565,25.919065917968734,31.676541992187584,39.195943847656231,43.603760009765558,44.895417724609253,44.932535644531242,43.437640624999993,43.199376464843610,42.705760742187429,38.830110107421802,36.288558593749961,32.723510986328108,28.084892333984254,25.590520996093641,25.254963134765529,25.128999999999920,24.936150878906169,24.650882324218671,23.478152832031171,23.393205322265558,23.260475830078065,23.058875488281185,22.602293457031152,22.384275878906152,24.159588378906243,28.494410644531325,32.729963867187557,37.014973388671820,40.834745117187445,41.659332519531183,40.401819091796739,39.658670898437485,37.255890136718733,35.331115966796759,31.932641845703237,28.429814208984340,25.623873046874920,23.788546386718849,23.660469726562361,23.495074218749860,23.537817138671770,23.499389404296782,"1",0.005107323945575,121.537078985014887,25.041681902987825,121.533019999999993,25.038582000000002
