VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,lon,lat,T_11_0,T_11_1,T_11_2,T_11_3,T_11_4,T_11_5,T_11_6,T_11_7,T_11_8,T_11_9,T_11_10,T_11_11,T_11_12,T_11_13,T_11_14,T_11_15,T_11_16,T_11_17,T_11_18,T_11_19,T_11_20,T_11_21,T_11_22,T_11_23,T_12_0,T_12_1,T_12_2,T_12_3,T_12_4,T_12_5,T_12_6,T_12_7,T_12_8,T_12_9,T_12_10,T_12_11,T_12_12,T_12_13,T_12_14,T_12_15,T_12_16,T_12_17,T_12_18,T_12_19,T_12_20,T_12_21,T_12_22,T_12_23,T_13_0,T_13_1,T_13_2,T_13_3,T_13_4,T_13_5,T_13_6,T_13_7,T_13_8,T_13_9,T_13_10,T_13_11,T_13_12,T_13_13,T_13_14,T_13_15,T_13_16,T_13_17,T_13_18,T_13_19,T_13_20,T_13_21,T_13_22,T_13_23,T_14_0,T_14_1,T_14_2,T_14_3,T_14_4,T_14_5,T_14_6,T_14_7,T_14_8,T_14_9,T_14_10,T_14_11,T_14_12,T_14_13,T_14_14,T_14_15,T_14_16,T_14_17,T_14_18,T_14_19,T_14_20,T_14_21,T_14_22,T_14_23,n,distance,feature_x,feature_y,nearest_x,nearest_y
"63000020030",臺北市,信義區,三張里,Sanzhang Vil.,A,"63000",A17,"63000020",,121.574219999999997,25.020080000000000,21.989280761718742,21.925129394531336,21.790445312499862,21.491693603515689,21.234727294921903,21.078637451171890,23.073859619140560,30.512574707031309,38.414151855468695,42.822812744140521,44.931617675781141,44.397499023437497,42.492802978515535,42.595565429687362,41.705388427734334,40.595344482421773,37.810254150390499,32.178039794921943,26.539018310546769,23.246579345702983,22.636546386718734,22.443942626953124,22.287732910156247,22.061738037109365,22.227149414062477,22.034126953124979,22.046725830078124,21.965575927734417,21.522751220703093,21.303357910156208,23.203999999999869,29.199183593750117,35.326405273437338,39.793558593749935,42.157676025390501,42.208646240234437,40.945774169921840,42.035583740234358,41.267292724609263,39.390345703124900,35.373840576171858,31.529416748047002,26.793313964843616,23.467365478515607,22.867781738281213,22.631055664062458,22.550208496093724,22.334274658203093,21.767221435546858,21.666495361328131,21.479505371093747,21.256645263671871,21.104667724609371,21.013522705078124,23.089595703124932,30.755547119140694,37.738984619140552,42.755711914062459,43.717652832031227,43.817262207031177,40.477168212890533,42.009787841796850,41.751727539062401,40.564976074218784,37.319544921874900,32.273229003906209,26.781532958984315,23.446830810546757,22.627054199218733,22.362435058593729,22.163460449218729,21.904721435546850,22.921496337890485,22.913484863281127,22.761520751953011,22.450295166015486,22.327188476562370,22.140248779296929,24.237172607421822,30.854476562500111,37.520294433593683,42.452710205078098,43.962490478515477,43.188703857421842,41.324466308593891,42.257711425781082,42.457282958984273,41.115259033202989,37.600934082031117,32.860793701171787,27.971097167968686,24.489344238281134,23.831137451171749,23.423696044921929,23.261218994140727,23.160368408202988,"1",0.007484995668730,121.569023304998510,25.025466977002218,121.574219999999997,25.020080000000000
"63000080002",臺北市,文山區,景東里,Jingdong Vil.,A,"63000",A11,"63000080",,121.553709999999995,25.001404000000001,24.209457763671764,24.055445312499888,23.940630859374899,23.624191650390514,23.554238037109275,23.490522216796798,24.958161376953115,31.267434326171923,38.922267578125101,43.374986816406199,45.586222167968685,44.493290039062472,43.131307617187481,44.253180175781203,42.238268066406150,41.084856201171725,38.010252929687390,32.809747558593713,27.771298583984237,25.239058593749885,24.918320068359264,24.780717529296769,24.654051269531152,24.497334960937408,24.425466064452998,24.166308349609235,23.967133056640719,23.686435302734370,23.367887939453105,23.222035888671861,24.410493896484422,29.706166015625051,35.264831787109209,39.449989257812497,41.826233154296808,41.876008544921753,40.561021972656093,42.245865722656205,41.729747802734565,39.342651611328058,36.362298828124864,32.608425537109277,28.064473632812486,25.670901855468632,25.341687988281134,25.131473144531132,24.917220214843635,24.601451171874871,24.418187011718675,24.164156249999920,24.024297851562434,23.758925537109299,23.757709716796818,23.503708251953054,25.072879394531249,31.456274658203164,39.124757568359549,42.209979492187344,43.078958984374886,42.590814453124963,40.949199462890455,41.837999511718749,41.470208984374963,41.091822753906158,38.365980468749918,33.059830566406106,27.993763183593654,25.482968505859272,25.072686523437383,24.942367919921764,24.795132812499897,24.634797119140536,24.956633056640527,24.792469238281157,24.595843261718649,24.306989501953005,24.188559326171749,23.951282714843611,25.325785888671785,31.119303222656264,37.864299560546712,42.394221435546832,43.472940917968685,43.174725585937473,41.223540283202965,42.068896728515519,41.949728027343582,40.767103515624967,37.889499755859241,33.805165039062487,29.464544433593680,26.646706298828065,25.979952148437416,25.688243164062406,25.501973632812408,25.327403320312406,"1",0.007484752373926,121.549714928941498,24.995074629941563,121.553709999999995,25.001404000000001
"63000100018",臺北市,內湖區,葫洲里,Huzhou Vil.,A,"63000",A14,"63000100",,121.615139999999997,25.076073000000001,24.018443359374906,23.942701171874919,23.965820068359321,23.884770263671840,23.662725585937469,23.384809326171837,25.279913085937434,31.022191406250037,37.043602539062469,41.411203857421810,44.733498779296767,45.619059082031136,42.021123291015535,41.157673583984213,41.726050048828029,40.643672119140483,36.943147216796753,32.953287597656136,27.944909423828047,25.146122802734300,24.698022216796801,24.395791992187405,24.268768066406160,24.159769042968652,24.074833740234261,23.948492187499891,23.870278076171772,23.670519775390524,23.456304687499891,23.230890869140516,25.030071777343743,30.094725585937628,35.992811523437368,40.690611816406189,43.087339111327971,42.724797607421735,39.867042480468697,40.269253173827977,40.167776123046707,38.513849121093614,35.902873779296755,32.187624755859368,27.914984863281290,25.482156738281155,24.912815917968640,24.649296630859261,24.387312988281131,24.215824951171761,24.115590576171783,23.682344726562377,23.700146240234290,23.462930664062405,23.381308349609288,23.346473144531185,25.076258300781134,31.441959472656318,38.539118896484283,42.861235595703015,44.486697021484346,41.932555175781090,39.397326904296875,39.717691894531193,40.821770263671752,40.329365478515463,37.390338378906193,33.229938232421944,28.340385498046832,25.453631347656188,24.925878662109305,24.686678222656170,24.540713867187421,24.260679687499906,24.756219238281169,24.580632080078050,24.455877441406180,24.241846679687427,24.267018798828072,24.056941894531182,25.927499755859280,32.226463867187483,38.880372558593578,42.161241699218749,44.124538818359376,42.677370605468823,40.823044677734231,41.551848388671765,41.772104736327961,40.368958984374821,37.571383300781122,33.659477783203094,29.353161376953079,26.426463378906199,25.801756347656191,25.365971435546800,25.164820312499927,24.947706054687419,"1",0.006860389758609,121.611062659992825,25.070555732007058,121.615139999999997,25.076073000000001
"63000020026",臺北市,信義區,大道里,Dadao Vil.,A,"63000",A17,"63000020",,121.574160000000006,25.038703999999999,23.825289062499881,23.660656494140500,23.420247558593619,23.075383300781358,22.888945068359241,22.703410400390496,24.137984374999924,30.638613769531201,38.561322265624817,42.949696289062487,44.760187011718607,44.357430664062441,41.447759033202985,41.942557617187433,41.301256347656249,40.425299316406161,37.759884277343602,32.685725341796783,27.283603271484370,24.828534912109252,24.406412109374862,24.337232421874880,24.149549316406134,23.921233886718618,23.832043212890618,23.618237060546868,23.419473632812483,23.232625488281240,22.839400390624963,22.526559814453069,23.862627929687481,29.503777099609440,35.561202636718662,40.186665283203112,42.453397460937445,42.182094970703083,41.726803222656201,42.235737548828013,41.178575683593600,39.029729248046834,35.479203124999955,31.762552734375014,27.638383544921847,25.194838378906361,24.724826416015624,24.496341308593749,24.233657470703129,24.046037597656262,23.641659912109237,23.528801025390504,23.294231933593625,23.035105957031121,22.952876953124893,22.630759033202999,24.129328369140552,31.066784912109402,38.538860107421762,43.385758300781205,44.128551513672072,42.926084228515471,40.342075439452991,41.530777343750017,41.227778564453082,39.852708984374893,37.802333496093851,32.348398681640560,27.695109619140531,25.005914062499883,24.445360839843811,24.319465576171968,24.159817871093608,23.877482177734457,24.649583496093644,24.479539550781144,24.337929443359275,23.843227294921959,23.791991943359243,23.483504882812507,24.921160644531149,31.039693847656302,38.110504394531183,42.893448486328303,44.101445556640577,42.833414550781242,41.282544189453098,41.958261962890461,42.180307861328068,41.015317626952971,37.408493896484281,33.414638916015626,28.985850585937406,26.231509765624921,25.651752685546779,25.339657958984272,25.120389160156147,24.990193847656158,"1",0.006140131224093,121.580172754992603,25.039948181999584,121.574160000000006,25.038703999999999
"63000040002",臺北市,中山區,正義里,Zhengyi Vil.,A,"63000",A10,"63000040",,121.532960000000003,25.057198000000000,24.719911865234291,24.655054687499927,24.436020263671804,24.259854492187440,24.198448242187457,24.021274169921835,25.505271972656129,31.056343749999925,37.843459716796737,42.584479003906203,44.826748291015576,46.215587402343630,44.497983642578070,43.947983642577981,42.850553222656245,41.698432861328072,38.019009033203027,34.035492187499933,28.400547851562425,25.628215087890531,25.303884033203037,25.166097167968658,24.990224365234283,24.935164550781170,24.886274169921755,24.692284912109258,24.550746826171768,24.256351074218632,24.107489990234271,23.877845214843649,25.146561035156179,30.248091064453231,35.470226074218580,39.843499999999963,42.538766113281085,43.402808105468935,42.863696533202969,43.567621093749914,42.314974609374921,39.836931396484282,36.959908691406241,33.049996582031142,28.840295166015508,26.322051757812407,25.836410888671764,25.519921630859258,25.207308105468627,25.032016357421760,24.945676025390561,24.752621826171811,24.639802001953075,24.428641113281198,24.120046142578072,23.776860107421800,25.279404052734435,30.878542724609481,37.077851806640453,42.004779296874894,44.938783203124927,44.391079345702977,42.225688720703104,42.676626220702957,42.060422607421721,40.971850830078118,39.270093994140645,33.970832763671822,28.286520751953041,25.868866943359286,25.586089843749907,25.438226074218672,25.286220458984307,25.110134033203057,25.630643066406183,25.399716552734311,25.240224365234319,25.115745605468707,24.826514648437435,24.739693359374940,26.286154541015499,31.702190185546971,37.772624755859255,42.402851806640619,43.985057617187373,43.480912109374962,42.477691894531091,42.677124267578115,43.273361328125141,41.541013427734221,38.492601562499999,34.481130615234306,30.080154785156218,27.201388916015585,26.673318847656198,26.308916992187442,26.082476562499934,25.906777099609315,"1",0.007371029014621,121.527676159040482,25.052058632971963,121.532960000000003,25.057198000000000
"63000120028",臺北市,北投區,中庸里,Zhongyong Vil.,A,"63000",A16,"63000120",,121.491516000000004,25.131568999999999,24.339172119140532,24.175148681640525,23.898208984374889,23.713750976562391,23.660573486328037,23.564211181640541,25.389794677734258,32.373215576171830,38.454996582031193,41.622918945312414,41.518833251953041,39.931981445312459,38.392726074218707,39.050313964843582,39.582965332031087,38.646405273437473,36.153395019531217,32.365940917968814,27.942315429687422,25.604267333984321,25.145260986328061,24.940741943359306,24.703036865234296,24.516186279296790,24.472138427734247,24.286999267578000,24.131626953124886,23.839610351562371,23.602627929687358,23.295547851562560,24.816376708984286,30.231922851562629,35.643930908203110,39.911786132812423,43.425323730468733,43.478667236328015,41.599746337890586,42.845031982421808,42.843358398437410,42.076458984374817,38.412767578124850,33.640346923828027,28.989776367187449,26.078423828124919,25.591930908203040,25.292194580078029,24.915481933593639,24.653984130859254,24.452780517578041,24.227161621093654,24.018633789062399,23.755030273437388,23.730428222656158,23.504008544921785,25.120373291015618,30.613458496093820,35.924696289062368,40.602429443359355,44.741577392578058,40.529669433593597,38.161301513671830,38.062984863281201,39.413976074218610,38.857829833984304,36.794609619140495,33.467623535156072,28.841636718749999,25.696841796874921,25.368105224609291,25.064980224609275,24.758726562499906,24.624755615234282,25.030804199218665,24.841637939453047,24.596039794921783,24.297743896484260,24.323780273437404,24.101761230468639,25.764860595703105,31.254045654296920,37.073221679687485,41.866624999999850,44.755798583984209,42.655907226562469,40.124861083984293,40.901777587890592,40.752038818359338,40.692967773437410,38.596028076171763,34.282844482421723,29.462731689453086,26.727144531249955,26.113890136718691,25.678248046874927,25.432612060546798,25.212648681640541,"1",0.008726814301914,121.498422759051707,25.136903226022753,121.491516000000004,25.131568999999999
"63000080033",臺北市,文山區,萬芳里,Wanfang Vil.,A,"63000",A11,"63000080",,121.574280000000002,25.001472000000000,23.366465087890639,23.227607421875025,23.157417968749861,22.967651123046743,22.847006591796749,22.692995361327998,24.132242187499944,30.935680175781307,38.504425292968833,42.320844970702993,43.736780761718791,43.095489746093683,41.501463867187489,42.110945068359243,41.330047851562433,40.029837890624925,37.221075683593703,32.189516845703096,27.022342285156249,24.421578124999861,23.893119873046871,23.899502929687358,23.827077392577998,23.643757080077989,23.568633789062485,23.364836181640605,23.223072265624982,22.964372314453097,22.664766601562452,22.413410400390568,23.671349853515583,28.967955810546865,34.729620605468604,38.818065429687330,40.964382568359376,41.005442138671810,39.832866455078005,41.025920654296762,40.764972167968637,38.498778320312489,35.377910400390554,31.784148193359425,27.147146972656198,24.728885253906249,24.405393554687521,24.285580078125069,24.082600097656336,23.787548583984368,23.485138916015497,23.308218749999877,23.162905029296752,22.922447265624879,22.784222167968625,22.605845703124871,24.122940429687429,31.113470703125039,37.500827880859241,40.822845703124834,41.547280517578017,41.968357177734347,39.247844482421705,40.952551513671729,40.944078613281199,40.008052490234483,37.037564941406153,32.544854980468664,27.214682373046749,24.645121826171746,24.070202392578121,23.916170410156244,23.841830078125099,23.639242919921969,24.225303710937379,24.095422119140508,23.827422851562368,23.548970703125050,23.378632568359365,23.162546142578108,24.584383300781127,30.541936279296827,37.116361328124896,41.364109130859241,42.570832763671888,42.155179687499846,40.611645751952949,41.138465820312447,41.610660644531215,40.144452148437473,37.210113769531134,32.951468749999826,28.569324707031157,25.718383544921782,25.047143310546758,24.771465820312372,24.631359619140500,24.567743896484263,"1",0.001829888030811,121.572637033706471,25.000666300326657,121.574280000000002,25.001472000000000
"63000030015",臺北市,大安區,龍安里,Long'an Vil.,A,"63000",A02,"63000030",,121.533109999999994,25.019943000000001,24.695976318359293,24.499737304687411,24.234345458984286,23.834061035156139,23.732542480468648,23.757636474609306,25.305693115234241,31.338895507812545,39.071422851562566,43.468795410156211,45.678635498046830,44.867137695312429,44.126790771484565,44.465299316406202,42.899781738281078,42.181694580078002,38.178692871093617,33.627623535156090,28.331703857421772,25.609434570312398,25.303578857421783,25.164124511718661,24.995678466796790,24.823854736328041,24.784579833984257,24.560124267578011,24.450345214843647,24.128440917968629,23.881014160156127,23.684227050781129,25.070268310546808,30.376944824218889,35.826179443359322,40.199668212890501,42.598974121093882,42.975176025390525,42.225997558593711,42.907202392577979,42.054259277343739,40.221875000000097,37.098972412109347,33.158696533202985,28.385306152343741,26.239013427734282,25.747269042968639,25.491491455078016,25.191878417968635,24.955569824218632,24.688926757812418,24.439190429687411,24.269078124999925,24.057632812499929,23.796827148437419,23.692897705078057,25.350149902343624,31.285978027343759,38.460108886718707,42.676202636718713,44.000847412109295,43.838489013671818,41.620106445312437,42.231104980468707,41.331067138671699,40.842781005859379,38.862678466796723,32.620029541015590,28.336491455078050,25.865418457031161,25.534585937499905,25.372122558593663,25.211155761718675,24.950646728515547,25.392936767578043,25.189994873046796,25.016087402343675,24.744009765624916,24.683240722656169,24.432127441406152,25.859065917968721,31.770722900390723,38.049937255859511,42.763738037109285,43.733950439453046,43.579264160156185,41.983591552734310,42.042396484374947,42.711283203124935,40.888316894531229,38.431712646484542,34.342049804687441,29.923432373046825,27.116346191406208,26.525429443359315,26.184118408203052,25.987524169921805,25.782679199218681,"1",0.006214126452706,121.533533846326051,25.026142654979282,121.533109999999994,25.019943000000001
"63000080023",臺北市,文山區,試院里,Shiyuan Vil.,A,"63000",A11,"63000080",,121.553799999999995,24.982765000000001,23.566816162109369,23.391004394531247,23.287927246093830,22.986331542968749,22.933824218750097,22.761322998046957,24.193351806640543,31.155763183593809,38.796405273437493,42.466341796874872,43.860370117187699,44.575979248046757,43.884007812499959,43.893476806640592,42.457885986328115,40.888094726562322,37.256988769531233,32.566583496093713,27.441395019531267,24.963880371093634,24.523173583984249,24.479842285156131,24.220899414062380,23.911590332031121,23.877350830078115,23.606209472656229,23.286166748046835,23.050040039062448,22.873648437499952,22.683239501953079,24.090527099609368,29.478410888671920,35.211673583984378,39.455543457031197,41.757517333984261,41.423764892578021,41.405273193359427,42.102331787109279,41.488221679687477,38.847213378906211,36.085803466796719,32.253434082031234,27.755461181640605,25.351969970702999,24.971547607421744,24.714557861327989,24.441637939452985,24.113223632812499,23.582693359375103,23.346400878906262,23.227232177734464,22.964062011718784,22.838355468750109,22.549836181640611,24.167957519531157,31.397643066406300,39.201014648437457,41.855798583984239,43.728218017578023,42.584813476562410,40.456050048827983,41.564603515625002,41.234737792968701,40.698003173828042,37.850969482421824,32.473402343749918,27.662342285156157,25.032911132812380,24.406729248046897,24.310508056640700,24.095027832031331,23.918597167968606,24.407480224609241,24.239095214843619,23.968008789062591,23.763756591796906,23.550209716796854,23.271834472656213,24.664440429687531,30.950766845703143,37.991633544921832,42.354609619140533,43.743790283203303,43.128679443359282,41.909618164062330,42.648503662109285,41.680336181640747,40.323016601562493,37.598587890624856,33.437296386718735,28.735936035156136,26.076864990234288,25.353091796874882,25.143333496093629,24.945517333984249,24.767977050781127,"1",0.003913120528639,121.550788267994974,24.985263396005760,121.553799999999995,24.982765000000001
"63000010015",臺北市,松山區,中華里,Zhonghua Vil.,A,"63000",A01,"63000010",,121.553529999999995,25.057274000000000,24.590892089843660,24.508924316406169,24.327060302734296,24.105594238281171,24.070566162109319,23.928265136718704,25.376941894531114,31.220318847656277,37.953279052734203,43.087085205077969,45.129558349609255,45.019038330078033,42.781982666015509,43.048674560546864,42.128756347656171,41.541219726562481,39.763281494140578,33.527912841796713,28.059860595703011,25.463448242187400,25.163094238281150,25.032978271484279,24.854471191406155,24.776043457031165,24.714266113281127,24.551038574218634,24.356967529296760,24.112367919921752,23.928489746093629,23.628967041015493,24.913694824218648,29.984084716796943,35.477810546875162,39.791123291015587,42.385890136718608,42.936744628906141,42.479905029296781,43.095029541015627,41.916870361328115,39.749139648437414,36.341286865234267,32.394269042968723,28.591694091796739,26.071071533203018,25.613996337890505,25.305737060546750,25.059532226562379,24.879153808593632,24.820339111328057,24.553044189453050,24.461059326171821,24.282012695312449,24.075481933593704,23.722175048828060,25.397096923827998,30.815826660156343,37.256091552734368,42.364789062499824,44.377450195312342,43.559427246093833,41.323919921874953,42.419107910156136,42.167990966796701,40.683971191406080,40.201904541015459,33.311721435546737,28.222546142578040,25.707620605468652,25.409350341796770,25.334902099609291,25.180771240234304,25.037461914062437,25.530087646484311,25.328987792968690,25.190501464843699,24.985442871093696,24.750524658203052,24.559624999999919,26.043903564453142,31.592242675781332,37.954233642577961,42.510461669921838,43.738049560546798,43.068391357421703,41.639472900390622,42.396036621093593,42.953310791015497,41.316693359374881,38.230061279296713,34.143495117187477,29.764208740234317,27.031668457031198,26.493710693359311,26.176438964843683,25.950568603515560,25.785103515624940,"1",0.001200060997023,121.552884759235042,25.056262164661707,121.553529999999995,25.057274000000000
