south_north,west_east,Time,xlat,xlon,Times,Ta2,RH2,VP2,WS_1,SW_down,time_hour,dayofyear,T_mrt,PET_v,mPET_v,WBGT
0,0,0,24.963715,121.4306,2013-07-15 00:00:00,27.083588,75.030304,26.826605,0.7261384,0.0,0,196,18.476986926216625,22.732587646484333,23.020587646484408,29.839249898910523
0,0,1,24.963715,121.4306,2013-07-15 01:00:00,26.799988,75.45014,26.532341,0.73270804,0.0,1,196,18.20495529278145,22.418987792968704,22.70898779296875,29.562803092956543
0,0,2,24.963715,121.4306,2013-07-15 02:00:00,26.563263,75.795456,26.28606,0.67871225,0.0,2,196,17.950198762233356,22.18226293945308,22.49226293945315,29.33179179763794
0,0,3,24.963715,121.4306,2013-07-15 03:00:00,26.417542,75.55043,25.977657,0.7232004,0.0,3,196,17.8280004801544,21.89654150390618,22.27654150390624,29.12796535873413
0,0,4,24.963715,121.4306,2013-07-15 04:00:00,26.272675,75.22855,25.64745,0.69585854,0.0,4,196,17.672875016865703,21.851674560546822,22.131674560546866,28.9160541267395
0,0,5,24.963715,121.4306,2013-07-15 05:00:00,26.169617,74.96403,25.40262,0.84071255,0.0,5,196,17.635218430011264,21.598616699218674,21.858616699218715,28.761402452468875
0,0,6,24.963715,121.4306,2013-07-15 06:00:00,26.3266,74.63133,25.52472,0.6847897,36.51506,6,196,21.29930822083395,23.215599121093746,23.59559912109365,28.898396362304688
0,0,7,24.963715,121.4306,2013-07-15 07:00:00,27.402771,72.18582,26.295464,0.12450417,185.06259,7,196,33.40569453982857,31.043770996093837,31.513770996093754,29.811488334655763
0,0,8,24.963715,121.4306,2013-07-15 08:00:00,28.538513,68.7537,26.75393,0.12201969,353.7745,8,196,44.03804779298764,37.42951318359359,38.47951318359358,30.63563112640381
0,0,9,24.963715,121.4306,2013-07-15 09:00:00,29.701294,63.915573,26.594288,0.20382936,511.5119,9,196,51.16942249655892,41.752293945312594,42.16229394531243,31.232188800811766
0,0,10,24.963715,121.4306,2013-07-15 10:00:00,30.806671,58.814777,26.066704,0.2858317,664.7369,10,196,54.23266569739985,43.38767114257803,43.64767114257798,31.651597129821777
0,0,11,24.963715,121.4306,2013-07-15 11:00:00,31.835205,54.326496,25.52228,0.45731786,758.627,11,196,53.45682970444477,42.92120507812501,43.04620507812498,32.02081721687316
0,0,12,24.963715,121.4306,2013-07-15 12:00:00,32.57379,52.147556,25.53849,0.6040573,741.5632,12,196,52.79426095337726,42.21479150390614,42.72479150390624,32.44596646881104
0,0,13,24.963715,121.4306,2013-07-15 13:00:00,32.637787,53.342934,26.217888,0.9926235,687.2162,13,196,54.71079836859525,42.17878686523429,42.56878686523421,32.74925508880615
0,0,14,24.963715,121.4306,2013-07-15 14:00:00,31.866272,59.271294,27.894175,1.2335902,494.46896,14,196,54.05128442394215,41.05727197265623,41.287271972656185,32.970586816787716
0,0,15,24.963715,121.4306,2013-07-15 15:00:00,30.847137,64.338,28.580296,0.4267955,323.67648,15,196,48.23105996162445,39.27813745117181,40.3381374511718,32.662383090972895
0,0,16,24.963715,121.4306,2013-07-15 16:00:00,29.903778,68.77805,28.951504,0.33761424,205.64476,16,196,40.006096710178326,35.044778076171866,35.61477807617175,32.27338314437866
0,0,17,24.963715,121.4306,2013-07-15 17:00:00,29.66565,69.41908,28.825218,0.35651,167.46022,17,196,34.676932577885,32.14664941406251,32.66664941406271,32.08873397064209
