south_north,west_east,Time,xlat,xlon,Times,Ta2,RH2,VP2,WS_1,SW_down,time_hour,dayofyear,T_mrt,PET_v,mPET_v,WBGT
0,0,0,24.963715,121.4306,2011-07-15 00:00:00,27.067047,76.89052,27.46512,0.60634017,0.0,0,196,18.408254148505705,22.836047119140602,23.1760471191405,30.080808000564577
0,0,1,24.963715,121.4306,2011-07-15 01:00:00,26.89035,76.683975,27.109423,0.65338093,0.0,1,196,18.25912730488568,22.689350341796857,22.929350341796738,29.840831758499146
0,0,2,24.963715,121.4306,2011-07-15 02:00:00,26.71521,76.394905,26.731327,0.7560463,0.0,2,196,18.135610499158872,22.284209960937446,22.6242099609375,29.592935581207275
0,0,3,24.963715,121.4306,2011-07-15 03:00:00,26.529785,76.22398,26.38274,0.82673955,0.0,3,196,17.985162731890625,22.048785156249938,22.338785156249983,29.35080501174927
0,0,4,24.963715,121.4306,2011-07-15 04:00:00,26.356262,76.40797,26.177998,0.7326996,0.0,4,196,17.775267722238368,21.925262207031196,22.225262207031243,29.17195372390747
0,0,5,24.963715,121.4306,2011-07-15 05:00:00,26.19458,76.465935,25.949696,0.75194895,0.0,5,196,17.626364393253596,21.623580078124924,22.023580078124986,28.99055727005005
0,0,6,24.963715,121.4306,2011-07-15 06:00:00,26.235687,76.82913,26.136148,0.6213925,33.633305,6,196,21.025212818779096,23.254687255859235,23.584687255859286,29.08714101600647
0,0,7,24.963715,121.4306,2011-07-15 07:00:00,27.159058,74.939316,26.912603,0.3867634,161.72638,7,196,32.32070821383223,29.197057617187436,29.75005761718758,29.9158387966156
0,0,8,24.963715,121.4306,2011-07-15 08:00:00,28.27829,71.08713,27.248156,0.287893,322.49734,8,196,43.115519921712576,35.91928979492177,36.48928979492185,30.682315462112424
0,0,9,24.963715,121.4306,2011-07-15 09:00:00,29.464966,65.71722,26.975477,0.22081234,489.97278,9,196,50.92254694366818,41.345965820312344,41.85596582031244,31.247998167037967
0,0,10,24.963715,121.4306,2011-07-15 10:00:00,30.647095,59.93825,26.32447,0.29387212,657.3134,10,196,54.213008988871536,43.28809472656239,43.528094726562344,31.662419624328617
0,0,11,24.963715,121.4306,2011-07-15 11:00:00,31.719482,55.409214,25.861395,0.27649412,758.52496,11,196,53.942274604185855,43.95048242187497,43.97048242187497,32.08847472190857
0,0,12,24.963715,121.4306,2011-07-15 12:00:00,32.488007,53.08111,25.87078,0.14833623,771.9765,12,196,53.13547617388548,44.36900659179672,44.60900659179687,32.527916648864746
0,0,13,24.963715,121.4306,2011-07-15 13:00:00,32.503723,55.121906,26.889145,0.28175527,643.16486,13,196,56.788324724249605,45.95472314453118,45.70472314453123,32.93704496765137
0,0,14,24.963715,121.4306,2011-07-15 14:00:00,32.2417,57.496666,27.637505,0.20759907,503.58212,14,196,55.85574927972215,45.67269921874993,45.562699218749955,33.08258275604248
0,0,15,24.963715,121.4306,2011-07-15 15:00:00,31.622253,61.326828,28.46652,0.11641989,410.99243,15,196,51.77396712127404,43.403253417968614,43.893253417968715,33.05716016960144
0,0,16,24.963715,121.4306,2011-07-15 16:00:00,30.929688,65.430214,29.202179,0.30582857,315.49695,16,196,45.04119422373503,38.31068749999994,39.28068749999995,32.9535891418457
0,0,17,24.963715,121.4306,2011-07-15 17:00:00,30.302002,67.14188,28.913694,0.3132484,184.34785,17,196,35.76328913221096,33.20300195312484,33.69300195312494,32.48431699943542
0,0,18,24.963715,121.4306,2011-07-15 18:00:00,29.511017,70.922745,29.189344,0.34701854,68.718056,18,196,25.195144915372452,27.790016845703025,28.120016845703077,32.14415890312195
0,0,19,24.963715,121.4306,2011-07-15 19:00:00,28.783783,73.22868,28.90215,0.44240996,0.0,19,196,19.97658759859945,24.912782958984252,25.252782958984305,31.618949573516847
0,0,20,24.963715,121.4306,2011-07-15 20:00:00,28.231659,74.47329,28.469011,0.574802,0.0,20,196,19.517169452804183,24.190658935546935,24.54065893554678,31.13567206001282
0,0,21,24.963715,121.4306,2011-07-15 21:00:00,27.90036,75.128586,28.172295,0.5685598,0.0,21,196,19.19397036342133,23.809360107421874,24.14936010742177,30.831215965270996
0,0,22,24.963715,121.4306,2011-07-15 22:00:00,27.618622,75.70608,27.92712,0.5420538,0.0,22,196,18.907886994673618,23.58862182617195,23.837621826171766,30.575116817474363
0,0,23,24.963715,121.4306,2011-07-15 23:00:00,27.345856,76.29481,27.700077,0.50329864,0.0,23,196,18.623540580659323,23.184855712890613,23.564855712890516,30.331230472564698
0,1,0,24.963806,121.45114,2011-07-15 00:00:00,25.233368,85.4334,27.391277,1.0151358,0.0,0,196,16.819585979182875,20.42236791992176,20.902367919921836,29.012091594696045
0,1,1,24.963806,121.45114,2011-07-15 01:00:00,25.072968,85.13909,27.038176,1.0446813,0.0,1,196,16.673348882809762,20.231967529296757,20.671967529296825,28.782375593185424
0,1,2,24.963806,121.45114,2011-07-15 02:00:00,24.934845,84.58095,26.641289,1.064718,0.0,2,196,16.54443325462597,20.043844970703,20.473844970703066,28.54808358001709
0,1,3,24.963806,121.45114,2011-07-15 03:00:00,24.742645,84.48417,26.308123,1.1957706,0.0,3,196,16.400818657542573,19.735645263671977,20.101645263671788,28.30817206001282
0,1,4,24.963806,121.45114,2011-07-15 04:00:00,24.573547,84.42899,26.027298,1.1784208,0.0,4,196,16.2298103655948,19.570547363281356,19.91254736328116,28.101929458618162
0,1,5,24.963806,121.45114,2011-07-15 05:00:00,24.494965,84.38158,25.891014,1.1664894,0.0,5,196,16.148947816195516,19.48996459960948,19.833964599609285,28.003813468933107
0,1,6,24.963806,121.45114,2011-07-15 06:00:00,25.134033,85.57941,27.276773,0.9713491,33.588142,6,196,20.26980036018955,21.503033203124915,22.14303320312486,28.91076879310608
0,1,7,24.963806,121.45114,2011-07-15 07:00:00,26.644623,80.803986,28.157225,0.17192881,164.32825,7,196,32.059393985618726,29.775622802734382,30.40562280273448,30.113290418624878
0,1,8,24.963806,121.45114,2011-07-15 08:00:00,27.610352,78.042145,28.775002,0.084813364,326.03784,8,196,42.92393597253454,36.7113515625,37.656351562500106,30.90364493560791
0,1,9,24.963806,121.45114,2011-07-15 09:00:00,28.71112,73.37398,28.838192,0.041095745,504.1461,9,196,50.81543127539078,42.40212060546863,42.442120605468624,31.552614833831786
0,1,10,24.963806,121.45114,2011-07-15 10:00:00,29.821045,67.9195,28.454933,0.14053228,663.13617,10,196,53.97246053638918,43.73204492187484,44.10204492187496,32.03132120513916
0,1,11,24.963806,121.45114,2011-07-15 11:00:00,30.820435,63.50511,28.167503,0.14924924,745.1989,11,196,54.10067180974522,44.191434570312445,44.501434570312384,32.48501522064209
0,1,12,24.963806,121.45114,2011-07-15 12:00:00,31.569672,61.084114,28.269686,0.045586307,780.2846,12,196,52.563630244129456,44.5506716308592,44.39067163085923,32.94999031257629
